number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
16,2021-02-15T02:54:48Z,2021-02-15T05:48:01Z,2021-02-15T05:48:01Z,4,78,1,请阅读我的描述步骤是否准确到位且易懂，虽然已经尽力做到描述的更加清晰，但不免会有遗漏......,2,0
24,2022-02-15T09:29:25Z,2022-02-17T06:26:30Z,2022-02-17T06:26:30Z,2,42,3,,5,5
38,2022-02-17T02:56:02Z,2022-02-17T06:25:50Z,2022-02-17T06:25:50Z,1,1,1,,2,0
40,2022-02-17T04:27:55Z,2022-02-17T06:24:32Z,2022-02-17T06:24:32Z,1,47,0,加入湘菜辣椒炒肉的做法。,2,0
47,2022-02-17T13:11:33Z,,2024-01-20T05:30:43Z,1,36,0,,5,0
54,2022-02-18T03:03:35Z,,2022-02-28T23:48:47Z,2,61,0,,3,2
56,2022-02-18T03:47:58Z,2022-02-18T05:00:27Z,2022-02-18T05:00:27Z,3,63,0,,3,2
72,2022-02-18T09:31:47Z,2022-02-19T14:30:29Z,2022-02-19T14:30:29Z,1,82,0,Add 厨房基本操作注意事项,3,3
77,2022-02-18T10:38:09Z,,2022-02-19T16:02:18Z,1,63,9,你们西红柿炒鸡蛋都不去皮的吗？,4,3
80,2022-02-18T11:53:48Z,2022-02-19T17:44:57Z,2022-02-19T17:44:57Z,2,2,3,,3,4
82,2022-02-18T12:39:29Z,2022-02-18T16:31:39Z,2022-02-18T16:31:39Z,1,3,3,Enhanced the punctuation marks for the text.,2,0
85,2022-02-18T14:07:24Z,2022-02-19T15:55:20Z,2022-02-19T15:55:20Z,1,39,0,"加水是我爸教我的
水个 PR",4,7
88,2022-02-18T15:11:54Z,2022-02-19T06:05:32Z,2022-02-19T06:05:32Z,1,8,0,"Fixed by textlint, see the configuration in .textlintrc.",3,5
91,2022-02-18T16:33:31Z,2022-02-19T06:42:05Z,2022-02-19T06:42:05Z,1,1,1,Suppress MD024,2,0
93,2022-02-18T19:58:45Z,,2022-02-19T16:06:29Z,1,6,0,加入在生米上抹油的步骤，该步骤破坏了大米表层的疏水分子结构，使得米更容易煮化。,2,1
94,2022-02-19T00:54:46Z,,2022-02-20T08:32:31Z,1,56,7,"一般多人聚会或自己做饭宴请他人时，菜的数量应当是偶数（若是在做祭祀，菜的数量应当是奇数）。
此外单人食用时，两道菜可能有些多。
形式语言描述我不会写，所以添加了程序语言描述（x
todo: 集成吃什么选择器。
（水个pr）",3,7
96,2022-02-19T04:35:11Z,2022-02-19T08:56:00Z,2022-02-19T08:56:00Z,2,53,0,,2,3
100,2022-02-19T06:49:03Z,2022-02-19T10:44:11Z,2022-02-19T10:44:11Z,2,69,0,"皮蛋瘦肉粥
一道简单的家常菜，很适合晚饭、早餐",2,1
104,2022-02-19T10:02:43Z,2022-02-20T09:20:34Z,2022-02-20T09:20:34Z,3,73,4,,3,2
106,2022-02-19T12:19:26Z,2022-02-19T15:33:33Z,2022-02-19T15:33:34Z,2,55,0,添加小炒肉,2,0
107,2022-02-19T12:23:17Z,2022-02-19T14:41:30Z,2022-02-19T14:41:30Z,3,91,0,新增,2,0
108,2022-02-19T12:37:06Z,2022-02-19T13:51:28Z,2022-02-19T13:51:28Z,2,17,0,添加了蒜香酱油的做法,2,1
115,2022-02-19T18:30:24Z,2022-02-20T11:17:38Z,2022-02-20T11:17:38Z,3,60,0,,2,0
117,2022-02-19T18:43:42Z,2022-02-20T07:13:50Z,2022-02-20T07:13:50Z,3,32,0,,2,0
