number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
60,2022-12-12T23:46:35Z,2022-12-13T06:24:49Z,2022-12-13T06:24:49Z,1,109,95,and fix some typo 💯,3,0
88,2022-12-14T11:12:16Z,2022-12-14T14:49:06Z,2022-12-14T14:49:06Z,2,11,12,,2,0
100,2022-12-15T08:54:35Z,,2024-01-16T15:36:40Z,2,6,0,"Add New Prompt
You'll need to add your prompt into README.md, and to the prompts.csv file. If your prompt includes quotes, you will need to double-quote them to escape in CSV file.
If the prompt is generated by ChatGPT, please add <mark>Generated by ChatGPT</mark> to the end of the contribution line.
e.g.
""Hello"",""Say """"Hi""""""


 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV



Please make sure you've completed all the checklist.",2,0
118,2022-12-16T18:21:42Z,2022-12-16T20:03:38Z,2022-12-16T20:03:38Z,2,6,0,Traffic and house accidents are the most common types of accidents. This prompt seeks to reduce pain or help play through scenarios that parents worry about.,1,1
119,2022-12-16T20:48:55Z,2022-12-16T22:15:31Z,2022-12-16T22:15:32Z,2,23,2,"Add Act as a Fill in the Blank Worksheets Generator
Example: https://sharegpt.com/c/SYmr2Ao

 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV



Add Act as a Software Quality Assurance Tester
Example: https://sharegpt.com/c/XtUd5pw

 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV



Add Act as a Tic-Tac-Toe Game
Example: https://sharegpt.com/c/qj3EfXO

 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV



Add Act as a Password Generator
Example: https://sharegpt.com/c/5Yjk4ii

 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV",2,2
121,2022-12-16T22:24:17Z,2022-12-17T06:51:13Z,2022-12-17T06:51:13Z,1,4,1,"Add Act as a Morse Code Translator
Example: https://sharegpt.com/c/yugHfth

 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV",2,1
124,2022-12-17T04:06:05Z,2022-12-19T18:07:56Z,2022-12-19T18:07:56Z,2,6,0,"Add New Prompt
You'll need to add your prompt into README.md, and to the prompts.csv file. If your prompt includes quotes, you will need to double-quote them to escape in CSV file.
If the prompt is generated by ChatGPT, please add <mark>Generated by ChatGPT</mark> to the end of the contribution line.
e.g.
""Hello"",""Say """"Hi""""""


[x ] I've confirmed the prompt works well
[ x] I've added Contributed by: [@yourusername](https://github.com/yourusername)
[x ] I've added to the README.md
[ x] I've added to the prompts.csv

[x ] Escaped quotes by double-quoting them
[x ] Removed ""Act as"" from the title on CSV



Please make sure you've completed all the checklist.",2,0
131,2022-12-18T12:24:36Z,,2023-12-02T10:25:01Z,2,7,0,"Add New Prompt
You'll need to add your prompt into README.md, and to the prompts.csv file. If your prompt includes quotes, you will need to double-quote them to escape in CSV file.
If the prompt is generated by ChatGPT, please add <mark>Generated by ChatGPT</mark> to the end of the contribution line.
e.g.
""Hello"",""Say """"Hi""""""


 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV



Please make sure you've completed all the checklist.",3,0
147,2022-12-19T22:12:14Z,,2023-02-26T21:03:12Z,2,8,1,"Acrostic poem generator
Generate poem where first letter of each lines makes up a given phrase",2,0
198,2022-12-31T12:22:54Z,,2023-01-11T08:46:42Z,2,5,0,"Add New Prompt
AWS Solutions Architect
You'll need to add your prompt into README.md, and to the prompts.csv file. If your prompt includes quotes, you will need to double-quote them to escape in CSV file.
If the prompt is generated by ChatGPT, please add <mark>Generated by ChatGPT</mark> to the end of the contribution line.
e.g.
""Hello"",""Say """"Hi""""""


 I've confirmed the prompt works well
 I've added Contributed by: [@yourusername](https://github.com/yourusername)
 I've added to the README.md
 I've added to the prompts.csv

 Escaped quotes by double-quoting them
 Removed ""Act as"" from the title on CSV



Please make sure you've completed all the checklist.",3,2
