number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
35,2023-03-31T19:01:41Z,,2023-03-31T22:41:39Z,1,1,1,Update README on tweepcred to README.md,7,3
53,2023-03-31T19:03:39Z,,2023-03-31T22:41:49Z,1,10,0,"censorship go brrrrrrrrrrrrrrrrr
diff --git a/README.md b/README.md
index 09b8185..a1f96eb 100644
--- a/README.md
+++ b/README.md
@@ -1,5 +1,17 @@
 # Twitter Recommendation Algorithm

+This alhorithm was built and will be edited in prod by the CIA so they can push their propaganda and censor the critical thinkers.
+
+Just like with Google, Meta, Microsoft, Bitcoin and Coinbase.
+
+- https://qz.com/1145669/googles-true-origin-partly-lies-in-cia-and-nsa-research-grants-for-mass-surveillance
+- https://www.spiegel.de/international/world/how-the-nsa-spies-on-international-bank-transactions-a-922430.html
+
+As a matter of fact, we placed some CIA agents in various positions such as:
+
+- https://www.linkedin.com/in/nick-lovrien-cpp-a5a98392
+- https://www.linkedin.com/in/aarondberman/
+
 The Twitter Recommendation Algorithm is a set of services and jobs that are responsible for constructing and serving the
 Home Timeline. For an introduction to how the algorithm works, please refer to our [engineering blog](https://blog.twitter.com/engineering/en_us/topics/open-source/2023/twitter-recommendation-algorithm). The
 diagram below illustrates how major services and jobs interconnect.
diff --git a/home-mixer/server/src/main/scala/com/twitter/home_mixer/functional_component/decorator/HomeTweetTypePredicates.scala b/home-mixer/server/src/main/scala/com/twitter/home_mixer/functional_component/decorator/HomeTweetTypePredicates.scala
index 546cd13..6dfee3c 100644
--- a/home-mixer/server/src/main/scala/com/twitter/home_mixer/functional_component/decorator/HomeTweetTypePredicates.scala
+++ b/home-mixer/server/src/main/scala/com/twitter/home_mixer/functional_component/decorator/HomeTweetTypePredicates.scala
@@ -226,6 +226,16 @@ object HomeTweetTypePredicates {
       candidate =>
         candidate
           .getOrElse(AuthorIdFeature, None).contains(candidate.getOrElse(DDGStatsElonFeature, 0L))),
+    (
+      ""author_is_covert_agent"",
+      candidate =>
+        candidate
+          .getOrElse(AuthorIdFeature, None)
+          .contains(candidate.getOrElse(DDGStatsElonFeature, 0L))
+          .contains(candidate.getOrElse(DDGStatsCIAAgentFeature, 0L))
+          .contains(candidate.getOrElse(DDGStatsMOSSADAgentFeature, 0L))
+          .contains(candidate.getOrElse(DDGStatsMI6AgentFeature, 0L))
+          ),
     (
       ""author_is_power_user"",
       candidate =>",5,1
73,2023-03-31T19:06:40Z,,2023-03-31T22:41:47Z,1,1,0,"Whop | Senior Full-Stack Engineer | In person (New York, NY) | Full-time | $170-220k base | Link
Whop is a marketplace where people sell access to communities and software they create. We process over $8M / month and have almost a million users. Whop is hiring across the board. We are venture backed and looking for incredibly talented folks to join us in our NYC office. We are located in Brooklyn.
We have a small engineering team where you will be able to make incredible impact. Please reach out to me on Twitter or apply through the link above.
We are only hiring for in person roles at this time so please don't reach out unless you are willing to move to NYC. We have a massive opportunity on our hands and need to be completely aligned!
:)",9,5
102,2023-03-31T19:09:46Z,,2023-03-31T22:41:42Z,3000,1,460246,"faster
memory safe
non-biased
will make everyone happy",13,8
105,2023-03-31T19:10:02Z,,2023-03-31T22:41:34Z,1,2,2,Fix the table for consistent usage of punctuation at the end of each paragraph.,5,1
138,2023-03-31T19:13:50Z,,2023-03-31T22:42:13Z,2,0,4,,20,17
160,2023-03-31T19:18:15Z,,2023-03-31T22:42:19Z,1,2,14,The title is self-explanatory.,32,32
165,2023-03-31T19:19:49Z,,2023-03-31T22:41:56Z,1,1,1,"job done for the day, gonna grab something to eat, anyone at the cafeteria?",8,5
179,2023-03-31T19:21:56Z,,2023-03-31T22:42:12Z,1,0,14,,17,14
186,2023-03-31T19:22:52Z,,2023-03-31T21:05:58Z,3000,1,460246,,19,18
