number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3256,2015-10-28T13:09:47Z,,2016-11-13T04:50:22Z,10,1475,0,"I've created a Calendar (date/time picker) module. It depends on the Popup module and Table collection.
For examples, see here: https://jsbin.com/hubanufuva/
Let me know if there's things that can be improved or changed to fit better into the project.
Issue for reference: #191.
EDIT: implemented time picker.
EDIT 2: See this repository for a ready to install version: https://github.com/mdehoog/Semantic-UI-Calendar.",109,279
4212,2016-07-04T16:32:47Z,,2018-05-03T01:27:16Z,11,1913,2,"Implemented and added onto the range component originally made by tyleryasaka.
His original repo
Demo
Issue
I'm new to the whole javascript plugin thing, so let me know if I formatted something wrong or whatever.
Also let me know of any other features you would like to see!",23,84
4430,2016-08-12T05:41:16Z,2016-12-21T19:30:32Z,2016-12-21T19:30:32Z,1,4,2,"With 'autoInstall: true' in semantic.json, npm install does not copy out the semantic files to root directory.
The following check always fails when install.shouldAutoInstall() === true
 /*--------------
    NPM Install
  ---------------*/

  // Check if PM install
  if(answers.useRoot || answers.customRoot) {",6,11
4631,2016-10-06T17:33:15Z,2018-02-20T00:23:09Z,2018-02-20T00:23:09Z,1,1,1,"The definition references the wrong variable: @textColor instead of @invertedTextColor which is defined in 
  
    
      Semantic-UI/src/themes/default/modules/dimmer.variables
    
    
         Line 54
      in
      ebb1cab
    
  
  
    

        
          
           @invertedTextColor: @textColor; 
        
    
  

.",5,5
4678,2016-10-22T10:11:34Z,2017-01-12T16:04:48Z,2017-01-12T16:04:48Z,2,220,168,"There are following changes:

Code cleaning and format;
Add slider container padding when locating labels;
Use css function calc() to locate thumb, track fill and labels, so no need to listen resize event or observe element changes;
Extra parameter thumbVal, secondThumbVal for listener onChange() and onMove();
Exactly updating global variables value, module.thumbVal, module.secondThumbVal, position and secondPos;
Set or update value to min or max when mouse is moving out slider;",3,5
4700,2016-11-01T06:11:03Z,,2018-03-25T02:29:27Z,1,16,16,add scrollable links on navigation bars,2,2
4766,2016-11-20T05:53:50Z,2016-12-27T17:01:28Z,2016-12-27T17:01:28Z,6,2722,686,"At it again, enjoy 😛",3,2
4910,2017-01-14T21:20:57Z,,2018-03-25T01:29:14Z,3,37,15,"A few fixes for the docs so that they run correctly.
Also added a few things:

Custom label interpreter function
Bug with reversed slider label positioning

/cc @jlukic @flytreeleft",2,2
4957,2017-01-29T20:09:05Z,,2018-06-18T02:46:42Z,1,6,6,Found via HoundCI's error I get after a gulp build.,5,8
5096,2017-02-28T01:41:38Z,2018-01-29T03:33:12Z,2018-01-29T03:33:12Z,1,2,2,Resolves #5094.,4,3
5116,2017-03-02T08:31:51Z,,2017-04-10T03:19:44Z,1,4,0,"#3604
Thank to https://github.com/Traverse for the fix",3,1
