number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2,2019-11-19T05:33:13Z,2019-11-19T21:59:52Z,2019-11-19T21:59:52Z,3,323,327,,2,0
4,2019-11-19T15:43:01Z,2019-11-19T18:49:10Z,2019-11-19T18:49:10Z,3,0,174,,2,0
24,2019-11-19T20:32:59Z,2019-11-20T00:30:25Z,2019-11-20T00:30:25Z,3,90,0,,2,0
30,2019-11-20T04:00:31Z,2019-11-20T17:28:23Z,2019-11-20T17:28:23Z,5,3,128,,2,0
31,2019-11-20T04:24:51Z,2019-11-20T17:28:41Z,2019-11-20T17:28:41Z,4,0,92,,3,4
39,2019-11-20T23:31:55Z,2019-11-21T00:39:13Z,2019-11-21T00:39:13Z,5,53,40,"Add keyboard.sendCharacter and fixes up all of the keyboard tests.
Drive-by to actually allow selectively installing browsers.",2,0
42,2019-11-21T01:09:15Z,2019-11-21T22:43:31Z,2019-11-21T22:43:31Z,6,88,5,Drive-by: setup injected script in the execution context to host all injected code.,2,1
43,2019-11-21T04:56:59Z,2019-11-21T22:41:39Z,2019-11-21T22:41:39Z,18,294,217,,2,0
44,2019-11-21T17:59:02Z,,2019-11-27T17:14:34Z,8,80,17,,3,1
46,2019-11-22T00:18:51Z,2019-11-22T05:19:21Z,2019-11-22T05:19:22Z,8,171,28,,2,0
47,2019-11-22T00:36:20Z,2019-11-22T05:17:24Z,2019-11-22T05:17:24Z,11,34,168,"The environment variables we inherited from puppeteer well as puppeteer-core don't necessarily make sense when considering multiple browsers.
This patch removes everything, so that we have a blank slate on which to figure out our npm story.
install.js now only contains code that should be run for the github checkout, so I added it to .npmignore.",2,0
49,2019-11-22T01:11:47Z,2019-11-22T05:16:00Z,2019-11-22T05:16:00Z,3,20,9,,2,0
50,2019-11-22T01:29:39Z,2019-11-22T23:36:18Z,2019-11-22T23:36:18Z,17,340,48,,3,0
51,2019-11-22T05:14:58Z,2019-11-22T18:05:33Z,2019-11-22T18:05:33Z,4,30,57,,2,1
52,2019-11-22T06:26:26Z,2019-11-22T19:25:53Z,2019-11-22T19:25:53Z,6,39,45,,2,0
53,2019-11-22T16:59:30Z,2019-11-22T19:24:56Z,2019-11-22T19:24:56Z,7,74,101,,2,0
55,2019-11-22T19:54:38Z,2019-11-22T21:14:08Z,2019-11-22T21:14:08Z,2,6,1,,2,1
56,2019-11-22T19:57:39Z,2019-12-05T01:58:38Z,2019-12-05T01:58:38Z,12,65,32,"await playwright.downloadBrowser()
Easy one liner to download a browser, optionally showing the progress bar.
No test at the moment. Need to add some environment variables back for that, in order to mock the host
#48",3,1
59,2019-11-22T22:09:46Z,2019-11-23T00:25:37Z,2019-11-23T00:25:37Z,2,16,1,fixes #57,2,0
65,2019-11-23T21:13:58Z,,2019-11-25T23:07:28Z,17,162,129,"This makes various evaluate functions do type-checking on the arguments.
result = await page.evaluate((n: number, s: string) => n + s, foo, bar)
result = await arrayHandle.evaluate((self: string[], n: number, s: string) => n + s, foo, bar)

// Both of the calls enforce the following types:
// foo: number | JSHandle
// bar: string | JSHandle
// result: string

Unfortunately, I wasn't able to make perfect forwarding work, because ...args tuple is not inferred as extends any[]. This is mitigated by ...args as any in the forwarding calls.",3,2
66,2019-11-24T01:29:15Z,2019-11-26T00:55:03Z,2019-11-26T00:55:03Z,1,66,42,This opens up opportunity for reuse.,2,0
67,2019-11-24T01:29:21Z,2019-11-26T04:28:34Z,2019-11-26T04:28:34Z,4,243,538,,2,1
68,2019-11-24T16:59:50Z,2019-11-26T16:57:53Z,2019-11-26T16:57:53Z,6,391,451,,2,1
69,2019-11-25T18:13:20Z,2019-11-25T19:19:20Z,2019-11-25T19:19:20Z,13,287,452,"Note that firefox implementation had a bug around shift handling (using 4 as modifier, but checking for 8), and now fails one test.",2,0
73,2019-11-25T23:16:49Z,2019-11-26T15:52:55Z,2019-11-26T15:52:55Z,10,168,227,,2,0
75,2019-11-25T23:20:46Z,2019-11-27T20:24:53Z,2019-11-27T20:24:53Z,5,105,2,,4,3
77,2019-11-25T23:41:10Z,2019-11-26T00:42:38Z,2019-11-26T00:42:38Z,5,76,37,,2,0
79,2019-11-26T00:49:50Z,2019-11-26T15:53:48Z,2019-11-26T15:53:48Z,5,35,29,,2,0
81,2019-11-26T04:48:57Z,2019-11-26T15:55:35Z,2019-11-26T15:55:35Z,4,88,153,,2,0
82,2019-11-26T06:03:21Z,2019-11-26T19:23:14Z,2019-11-26T19:23:14Z,12,268,308,,2,0
83,2019-11-26T06:11:44Z,2019-11-26T17:00:11Z,2019-11-26T17:00:11Z,2,27,55,,2,0
