number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3,2018-12-25T19:51:57Z,2018-12-30T06:26:16Z,2018-12-30T06:26:16Z,4,126,72,"🎄 Merry Christmas! 🎄
Overview
Currently: The 75 HTTP requests run synchronously (one after the other). This means that each request must finish before the next one can be made.
With this PR: All HTTP requests are made in their own threads. Even though each request still blocks each thread, all threads are run in parallel. This allows for all requests to make progress at the same time, resulting in a ~2x performance increase.
Benchmarks
Updated on 12/30/18, as stated in this comment
Currently: 1.94s user, 1.50s system, 50% cpu, 40.5665 seconds
With this PR: 1.89s user 1.75s system 95% cpu 3.50564 seconds
This is a massive improvement (as expected)!
Notes

For this type of I/O task, asynchronous programming would have been much better solution than concurrent programming. However, python does not have great support for asynchronous programs. Some asynchronous libraries I tried using required Microsoft Build Tools as a dependency on windows, so I decided to keep the project ""simple to install"" and did not rely on such libraries. If anyone knows of a simple asynchronous programming library in python (that does not require native dependencies), please let me know!
Sometimes HTTP requests fail and throw an exception in the program. This is not an issue with my changes in this PR, and this issue can be fixed my merging PR #1",5,11
49,2018-12-31T05:53:45Z,2018-12-31T16:01:56Z,2018-12-31T16:01:56Z,1,2,1,"…rectory
If the script is run from a different directory than the where it
resides then it would fail to load because it could not find data.json.
fixes #47",3,1
50,2018-12-31T06:28:01Z,2019-01-02T09:57:13Z,2019-01-02T09:57:13Z,1,9,5,"isort cleans up the imports for readability.
#! /usr/bin/env python3

import csv
import json
import os
import platform
import re
from argparse import ArgumentParser, RawDescriptionHelpFormatter
from concurrent.futures import ThreadPoolExecutor

import requests

from requests_futures.sessions import FuturesSession
from torrequest import TorRequest",3,1
61,2019-01-02T19:46:18Z,2019-01-03T00:28:14Z,2019-01-03T00:28:14Z,1,5,0,,4,1
64,2019-01-03T01:26:26Z,2019-01-04T21:50:55Z,2019-01-04T21:50:55Z,1,4,2,"Facebook from: https://www.facebook.com/help/409473442437047 but I don't know how to handle this requirement: ""They can't contain generic terms or extensions (.com, .net)"".
Flipboard from: https://flipboard.helpshift.com/a/flipboard/?s=managing-your-account&f=help-with-username-issues&p=web",4,12
71,2019-01-03T10:29:09Z,2019-01-03T21:36:26Z,2019-01-03T21:36:26Z,2,10,5,"Fixed issue #5, using Colorama. Notice there is another PR using Hue here => #62 to resolve the same issue. I think both of them work well on Windows 10 with PowerShell and Command Prompt. I have tested both softwares but I have not tested on the Linux machine. Since Colorama is well known as cross OS and my PC crashed yesterday while installing Python 3.7 (Damn it!), I would not worry too much about it but if anyone would like to tested on their Linux distros and MacOS are welcome.",4,7
72,2019-01-03T11:52:51Z,2019-01-04T16:01:41Z,2019-01-04T16:01:41Z,1,11,0,"The script downloads the packages that are necessary for the sherlock.py. It is an automated procedure instead of the instructions in the README.md.
It contains some packages that are not in README but I couldn't run ""pip3 install -r requirements.txt"" without them.
It is for linux, I don't know if it works on something else.
I believe it is useful!
Sorry for the extra files from previous pull request (if they are shown), but I'm new on Github and I' confused with commits and forks.",3,9
92,2019-01-05T11:28:04Z,2019-01-16T03:23:34Z,2019-01-16T03:23:34Z,1,45,5,"As requested on #87, now the script know which package manager the system uses.
I checked it on Debian/Ubuntu. Please, let me know if something is wrong on other distos.",3,0
105,2019-01-06T18:06:49Z,,2019-01-22T02:08:01Z,1,151,0,"I still need to add some functions to make the tests more parameter driven, but I wanted to get something out there that people could comment on.",3,1
109,2019-01-07T17:19:28Z,2019-01-09T00:08:47Z,2019-01-09T00:08:47Z,2,80,49,"Fixes #82
Overview

Exposes metrics about each request's response time (in milliseconds)
In verbose mode, prints out response times to console

Understanding the Metrics
Please note that long ""response times"" are not entirely the fault of the websites we make requests to. These response times are highly influenced by a variety of factors on your computer, such as Context Switching. All requests run in separate threads, but access to the network card for I/O is blocked to one request at a time. Therefore, some responses might be ""done"" earlier than your CPU can process them.
This needs to be tested and understood further (I plan on doing that later). So this PR only exposes these metrics, but doesn't take any actions on them or imply that long response times correlated to the website.
Implementation Details
I was able to make use of requests-futures' built-in hooks API to compute the response times. This allows each background thread to compute its own response time, so the main thread doesn't have to schedule time for that. Therefore, this introduces very little overhead!
Specific changes

Created ElapsedFuturesSession that records start, end, and elapsed time for each request in the background thread
Abstracted printing success/error to a function, making it more modular

Testing Done

Ensured this feature introduces minimal overhead by timing total running time of Sherlock. Did not notice any visible differences.
Ensured response times are printed in verbose mode
Ensured response times are NOT printed in quiet mode
Ensured response times are always exported to the CSV (in csv mode)

User Experience
With this PR, the following is displayed to the user in verbose mode. Note the inclusion of the response times in the second brackets per line.

Future Work
All response times are stored in the results_total and results_site dictionaries (in both quiet and verbose modes). This stored information can be post-processed to output metrics, such as:

Sites which took the longest to response
min, max, p50, p90, p99 response times
Expected timeouts for responses

I will create issues for this features when needed.",3,0
