number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
314,2018-02-07T23:33:32Z,2018-02-09T01:50:00Z,2018-02-09T01:50:00Z,1,2,1,"Upterm is a terminal based on electron and black screen and when clubbed with oh my zshell it becomes extremely powerful.
Added it under Command Line tools",2,3
333,2018-03-31T06:05:13Z,2018-03-31T09:10:55Z,2018-03-31T09:10:55Z,1,237,239,,2,1
340,2018-04-02T16:13:51Z,2018-04-02T22:48:56Z,2018-04-02T22:48:56Z,1,1,2,"NOTE: A similar PR may already be submitted! Please search among the Pull request before creating one.
Types of Changes
What types of changes does your PR introduce? Put an x in all boxes that apply

 New addition to list
 Fixing bug in existing item in list
 Removing item from list
 Changing structure (organization) of list

Proposed Changes
Removed duplicate rishiqing entry.
PR Checklist

 I have read the CONTRIBUTING guide
 I have explained why this PR is important
 I have added necessary documentation (if appropriate)

Further Comments
If this is a relatively large or complex change, kick off the discussion by explaining why you chose the solution you did and what alternatives you considered, etc...",3,2
343,2018-04-03T15:37:26Z,,2018-04-04T01:07:15Z,2,2,0,,2,0
351,2018-04-15T12:42:15Z,2018-04-16T16:19:42Z,2018-04-16T16:19:42Z,1,1,0,"Shifty is a menu bar app that adds many of the controls from f.lux, including website shifting and an automatic dark mode.
Types of Changes

 New addition to list
 Fixing bug in existing item in list
 Removing item from list
 Changing structure (organization) of list

Proposed Changes
Shifty is a menu bar app that adds many of the controls from f.lux including website shifting and an automatic dark mode.
PR Checklist

 I have read the CONTRIBUTING guide
 I have explained why this PR is important
 I have added necessary documentation (if appropriate)",4,5
352,2018-04-15T13:47:16Z,2018-04-15T15:18:22Z,2018-04-15T15:18:22Z,1,0,1,"Types of Changes
What types of changes does your PR introduce? Put an x in all boxes that apply

 New addition to list
 Fixing bug in existing item in list
 Removing item from list
 Changing structure (organization) of list

Proposed Changes
OpenEmu was entered twice in this list, I deleted the entry in System Related Tools which was misplaced anyway.
PR Checklist

 I have read the CONTRIBUTING guide
 I have explained why this PR is important
 I have added necessary documentation (if appropriate)",2,1
360,2018-04-19T00:11:59Z,,2018-04-19T02:41:02Z,1,0,4,"Types of Changes

 New addition to list
 Fixing bug in existing item in list
 Removing item from list
 Changing structure (organization) of list

Proposed Changes
OpenEmu and gaming in general are completely unrelated to what this repo was created for, gathering apps helpful for developers and designers.
PR Checklist
Put an x in the boxes once you've completed each step. You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. We're here to help! This is simply a reminder of what we are going to look for before merging your code.

 I have read the CONTRIBUTING guide
 I have explained why this PR is important
 I have added necessary documentation (if appropriate)",2,1
379,2018-06-12T16:56:59Z,2018-06-13T01:28:26Z,2018-06-13T01:28:26Z,1,1,0,"Carol is a minimal and beautiful lyrics app for macOS.
Types of Changes
What types of changes does your PR introduce? Put an x in all boxes that apply

 New addition to list
 Fixing bug in existing item in list
 Removing item from list
 Changing structure (organization) of list

Proposed Changes
Describe each of your changes here to communicate to the maintainers why we should accept this pull request.


If you're adding something to the list, be sure to explain why it should be added.
Carol is a light-weight menu bar app for macOS which shows lyrics on demand. It has a minimal and beautiful design. It supports Apple Music and Spotify. It also uses some macOS specific UI elements like Visual Effect View with Blur and Vibrancy.


If you're fixing a bug or resolving a feature request, be sure to link to that issue.


PR Checklist
Put an x in the boxes once you've completed each step. You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. We're here to help! This is simply a reminder of what we are going to look for before merging your code.

 I have read the CONTRIBUTING guide
 I have explained why this PR is important
 I have added necessary documentation (if appropriate)

Further Comments
If this is a relatively large or complex change, kick off the discussion by explaining why you chose the solution you did and what alternatives you considered, etc...",3,0
380,2018-06-14T15:13:25Z,2018-06-14T16:29:21Z,2018-06-14T16:29:21Z,1,1,0,"Types of Changes
What types of changes does your PR introduce? Put an x in all boxes that apply

 New addition to list

Proposed Changes
Describe each of your changes here to communicate to the maintainers why we should accept this pull request.
Perhaps the best HTTP client command line tool.
PR Checklist
Put an x in the boxes once you've completed each step. You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. We're here to help! This is simply a reminder of what we are going to look for before merging your code.

 I have read the CONTRIBUTING guide
 I have explained why this PR is important
 I have added necessary documentation (if appropriate)

Further Comments",3,1
383,2018-06-14T17:46:35Z,,2018-06-14T20:42:15Z,1,3,1,"Types of Changes
What types of changes does your PR introduce? Put an x in all boxes that apply

 New addition to list
 Fixing bug in existing item in list
 Removing item from list
 Changing structure (organization) of list

Proposed Changes
A nice app that allows you to check a piece of the phrases, words, and sentences (supports wildcards) against existing text bases like The New York Times, Encyclopedia Britannica ...
PR Checklist
Put an x in the boxes once you've completed each step. You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. We're here to help! This is simply a reminder of what we are going to look for before merging your code.

 I have read the CONTRIBUTING guide
 I have explained why this PR is important
 I have added necessary documentation (if appropriate)

Further Comments",2,1
