number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
231,2016-10-18T02:59:48Z,2016-10-18T13:10:41Z,2016-10-18T13:10:41Z,1,45,36,"The Media category was becoming too vague and too cluttered with items that fell into other, already existing, categories. By breaking up this category, we are able to allow viewers to quickly find what they need, instead of making them search the category they want and then have to double-check the ""catch-all"" basin that was Media.
These changes should cover issue #127.",2,3
238,2016-11-07T09:35:08Z,2016-11-08T17:57:20Z,2016-11-08T17:57:20Z,1,7,0,"Hey, I have added News Tab. I will further contribute more. It will be a good gesture if you accept my pull request. Thanks",2,1
259,2016-12-29T08:59:31Z,,2017-06-05T02:34:07Z,5,1327,0,"Working towards #203

Firstly, we have to start the long and tedious process of converting the README.md file to a JSON list. I've completed two categories, but I wanted to get feedback on the format I've used.
I've also used gulp and gulp-jsonlint because this can become part of the CI process for new contributions.",5,14
321,2017-03-30T14:10:14Z,2017-04-01T19:39:35Z,2017-04-01T19:39:35Z,1,3,3,,3,1
342,2017-04-18T17:44:35Z,2017-04-27T07:49:13Z,2017-04-27T07:49:13Z,1,7,0,I've added the parcel tracking category and the parcel service tracking api for Sweden. Maybe this is of interest for someone...,4,9
345,2017-04-20T02:11:23Z,2017-04-20T14:51:51Z,2017-04-20T14:51:51Z,1,3,0,Added airvisual API that can be used to fetch air quality data in the environment section of the curated list of public API-s.,2,3
368,2017-06-03T16:29:46Z,2017-07-03T03:55:22Z,2017-07-03T03:55:22Z,7,2453,79,Continuing where PR #362 left off.,4,7
384,2017-07-05T06:19:14Z,,2017-08-02T17:35:53Z,12,2565,0,"Simple site with the ability to search.  I leaned heavily on http://2factorauth.org to integrate the search feature.  There's a pre-commit webhook to take the latest json file from /json and copy it to the /docs/_data directory.  That should keep the site in sync with the json generated off the README file. Once merged in, you'd have to change the settings to build from the /docs folder.
You can demo at http://ryankuhn.net/public-apis
Before merging into the master branch, update the repo link in /docs/_includes/header.html.  Also, would recommend adding a link to the site on the README file.",4,15
385,2017-07-10T05:50:06Z,2017-07-10T15:08:52Z,2017-07-10T15:08:52Z,4,73,4,"So, right now the CI for this project tests every link in the README to make sure that it's living. This is great for removing dead links over time, but can cause a real headache for users who open a pull request only to see their changes ""break"" the build, when 99.9% of the time it is someone else's link that is causing the failure.
Therefore, in the spirit of alleviating this headache, I have written a simple format validator that will run on pull requests. This validation checks for valid auth values, markdown link syntax, and a few other goodies.
I plan to add more checks to this soon, but my plan is to merge in the CI changes quickly to stop having pull requests fail for no good reason - and to give maintainers a break from having to point out simple fixes :)",2,1
407,2017-07-26T19:26:46Z,2017-08-06T02:06:48Z,2017-08-06T02:06:48Z,3,10,10,Stormpath is closing it's API on 17th August 2017 as it has joined forces with okta.dom - replaced Stormpath entry with Okta,4,6
