number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
15,2020-07-10T09:15:33Z,,2020-07-31T08:07:40Z,2,56,2,"So as i mentioned in #14 that github api only return commits of 1 year max. what i did is that fetched all user years and then looped through that and made a graphql request for each year
    data: {
          query: `
          query userInfo($login: String!, $from: DateTime!, $to: DateTime!) {
            user(login: $login) {
              contributionsCollection(from: $from, to: $to) {
                totalCommitContributions
              }
            }
          }
        `,
          variables: {
            login: username,
            from: currentDate.toISOString(), // current year
            to: nextDate.toISOString(), // next year
          },
        },
TODO: perf improvement?",5,9
22,2020-07-11T09:42:52Z,2020-07-15T06:41:44Z,2020-07-15T06:41:44Z,2,2,0,"I tried adding a cache (1h, but can be changed) to help with the commit count problem. It reduced Anshuman Verma's request from 4.5s avg to 185s avg in subsequent requests. The first request took a bit longer.
This approach has a problem, though. The stats will only refresh once the cache max-age has expired, I guess it's not that big of a deal, shield.io and similar tend to have cache in place.",4,9
27,2020-07-11T19:11:03Z,2020-07-12T07:54:50Z,2020-07-12T07:54:50Z,9,199,21,"It would be nice if users could pass some colors to customize their stats. So I implemented the following structure:
![João's github stats](https://github-readme-stats.vercel.app/api?username=JoaoVSouto&title_color=048a81&icon_color=7159c1&text_color=494453)
The result will be something like this:",3,8
29,2020-07-11T20:16:32Z,2020-07-12T09:07:21Z,2020-07-12T09:07:21Z,3,70,69,,2,2
33,2020-07-13T02:39:13Z,2020-07-16T10:21:21Z,2020-07-16T10:21:21Z,17,375,141,"1. To make all icons seems consistent.

Change icon ★ to ⭐️
Change icon ⓘ to ℹ️

2. To make text vertically align left.
Change template of createTextNode:

Before:

<tspan x=""25"" dy=""${lineHeight}"" class=""stat bold"">
    <tspan data-testid=""icon"" class=""icon ${classname}"">${icon}</tspan> ${label}:</tspan>
    <tspan data-testid=""${id}"" x=""155"" dy=""0"" class=""stat"">${kValue}</tspan>

After:

<tspan x=""25"" dy=""${lineHeight}"" class=""stat bold"">
    <tspan data-testid=""icon"" class=""icon"">${icon}</tspan>
    <tspan x=""45""> ${label}:</tspan>
</tspan>
<tspan data-testid=""${id}"" x=""155"" dy=""0"" class=""stat"">${kValue}</tspan>
Preview:

Before:



After:",5,8
49,2020-07-14T08:39:55Z,2020-07-15T14:40:54Z,2020-07-15T14:40:54Z,4,65,29,"Related issues
#41
#39
NOTE: i suck at math, so i'm just experimenting and doing trial and error to get the correct results.",4,4
58,2020-07-15T09:34:07Z,2020-07-15T12:23:44Z,2020-07-15T12:23:44Z,8,150,30,"Work in Progress, special thanks to @filiptronicek @ApurvShah007 @garvit-joshi
fixes #51
TODO:

write tests
refactor code
add retry logic in pin.js",10,18
67,2020-07-15T15:44:21Z,2020-07-24T13:26:27Z,2020-07-24T13:26:27Z,4,23,3,"Description can no longer be a simple text element as we can't use images inside there.
That's why I had to split the description into individually rendered parts (split at emoji occurrences).



Description
Current API
New API




regular text




regular text exceeding limits




with two emojis




with emojis in between text




with show_emojis=0 option:




with one emoji",2,20
76,2020-07-16T00:51:25Z,,2020-12-13T18:54:24Z,8,26,5,"gh-index is defined by the h-index of the stargazer count of each of the repo of a GitHub user, i.e. the maximum h where there are at least h repos with stargazer counts greater than or equal to h. This is a good metric of a GitHub user's reputation.
There are tools to calculate this:

gh-index on npm
github-index

TODO:

 Adjust rank based on h-index",3,5
78,2020-07-16T09:48:38Z,2020-07-16T12:33:34Z,2020-07-16T12:33:34Z,10,115,30,"Show off your contributions to other users' repos
Add an option to repo card to show full repo name in title (full_name). Defaults to false (current behaviour)



Before
After",4,4
81,2020-07-16T23:08:58Z,2020-07-17T15:24:48Z,2020-07-17T15:24:48Z,1,4,4,"I was a little confused at first setting the bg_color, since it said hex color but had rgba(...) so I copied the title color which of course didn't work since it started with # I think this makes it a bit clearer how to use it!",2,1
97,2020-07-18T14:11:28Z,2020-07-18T16:50:05Z,2020-07-18T16:50:05Z,1,16,12,#95,2,3
102,2020-07-19T04:04:32Z,2020-07-19T12:38:58Z,2020-07-19T12:38:58Z,2,197,0,"add Chinese translation
This project is so great, thanks for your contribution! 🙇",2,1
109,2020-07-20T00:30:28Z,2020-07-20T06:46:05Z,2020-07-20T06:46:05Z,1,67,44,"For this pulling request, I have updated and improved existing Simplified Chinese translation of README file. Details as follows:

Added new contents from English README file that hasn't been updated in Simplified Chinese translation of README file.
Translated contents that were left untouched by last translation.
Replaced a number of half-width punctuation characters with full-width punctuation characters as following language usage habits. However, characters in commands and codes have been left unchanged per convenience of copying and pasting codes.
Replaced phrases for more precise translation based on contents.",3,1
110,2020-07-20T06:29:16Z,,2020-12-13T14:47:29Z,1,7,2,"Made the width of the card fit to content based on if the rank is displayed or not.
Reference: issue #108",4,5
114,2020-07-20T15:01:21Z,,2020-09-11T13:36:44Z,1,8,2,theme named: oddextension,2,3
123,2020-07-21T05:41:40Z,2020-07-21T07:34:43Z,2020-07-21T07:34:43Z,2,7,1,Theme Name : Prussian,3,16
137,2020-07-21T17:50:57Z,2020-07-24T12:45:21Z,2020-07-24T12:45:21Z,3,14,10,"Changed bug and feature links in readme and some styling issue (:).
This will filter out issues based on label which tagged with issue.",4,2
146,2020-07-22T16:21:34Z,2020-07-23T07:35:50Z,2020-07-23T07:35:50Z,12,78,33,"This PR contains couple of fix, modify and others.

feat: added template options
added: git ignore .vscode and yarn.lock, logger utility, test case, husky hooks to test before commit
replace: all console log with logger utility
disable: log disable in test environment",3,7
150,2020-07-22T19:59:32Z,2020-07-23T14:17:05Z,2020-07-23T14:17:05Z,6,64,34,Addressing #140,4,6
171,2020-07-24T11:38:51Z,2020-07-28T15:31:53Z,2020-07-28T15:31:53Z,2,262,0,,3,4
179,2020-07-24T18:08:00Z,2020-07-26T16:15:24Z,2020-07-26T16:15:24Z,4,139,19,"What type of PR is this? (check all applicable)

 Refactor
 Feature
 Bug Fix
 Optimization
 Documentation

Pull request checklist
Please check if your PR fulfills the following requirements:

 Build (npm run build) was run locally and any changes were pushed
 Tests (npm run test) has passed locally and any fixes were made for failures

Description
Compact layout for top languages card similar to GitHub's lang card.
Related Tickets & Documents
#134
Mobile & Desktop Screenshots/Recordings (if there are UI changes)

Added tests?

 Yes
 No, because they aren't needed
 No, because I need help

Does this introduce a breaking change?

 Yes
 No",2,7
246,2020-07-29T00:32:30Z,2020-08-09T15:40:22Z,2020-08-09T15:40:22Z,4,45,3,Fixes #218,3,11
248,2020-07-29T04:01:31Z,,2020-12-13T17:54:26Z,1,5,5,,2,2
249,2020-07-29T05:00:43Z,,2021-01-18T13:19:16Z,1,6,17,Fixing level selection over complicated if condition blocks that split into multiple lines using a simpler code with else if.,2,7
260,2020-07-29T18:49:21Z,2020-07-30T13:49:04Z,2020-07-30T13:49:04Z,10,433,229,"With our current approach we have to handle hide_title, hide_border and auto height adjustment logics with each card and this is causing lot of duplication in code & tests too, thats why i've created a Card.js Class to abstract away the common rendering logic.
The Card class would automatically handle the hide title, hide border logic as well has when hiding the title it will auto adjust the content & card's height accordingly.",1,1
263,2020-07-30T09:22:36Z,,2020-12-13T18:54:32Z,1,7,0,,3,2
289,2020-08-02T10:19:44Z,,2020-12-13T17:54:39Z,8,57,10,"PR for #287 #327
Flag: show_stats=forks   Default: null",5,8
292,2020-08-02T11:40:59Z,,2020-12-13T14:48:19Z,2,17,5,Closes: #291,6,6
293,2020-08-02T13:19:44Z,2020-09-27T07:40:40Z,2020-09-27T07:40:40Z,11,40,7,Fixes #229,4,9
306,2020-08-04T14:58:36Z,,2020-09-11T13:32:40Z,1,6,0,,2,1
316,2020-08-05T08:16:16Z,,2020-12-13T18:54:35Z,6,6,6,"Hi! @anuraghazra !
Thanks for create great tool!
I love this tool!!!
I thought I should mention the licenses for Dracula and gruvbox.
Therefore, I've attached those original url's to the README.
Could you check this PR?
original link
dracula

https://github.com/dracula/dracula-theme

gruvbox

https://github.com/morhetz/gruvbox",3,3
323,2020-08-06T15:58:22Z,,2020-08-08T17:29:58Z,1,6,0,,2,24
342,2020-08-09T01:19:02Z,2020-08-14T15:35:21Z,2020-08-14T15:35:21Z,1,6,0,"The tittle_color and icon_color are color blind friendly and detectable by people with protanopia, deuteranopia, and tritanopia.
Theme: color-blind-friendly-dark",2,4
346,2020-08-09T13:36:21Z,,2021-02-12T23:09:41Z,6,21,21,replacing ? by &,2,5
391,2020-08-15T08:29:46Z,2020-09-24T07:03:33Z,2020-09-24T07:03:33Z,2,8,11,"The totalCommitsFetcher already sends the total number of commits, we don't need to add the values returned by the GraphQL API
Fixes #298
Current master:


My fork:",4,9
392,2020-08-15T18:06:29Z,2020-09-19T07:23:41Z,2020-09-19T07:23:41Z,7,586,0,"Wakatime card
This PR allows users to create a card displaying their wakatime stats and progress. Wakatime is a tool to track developement time.
Live exemple",5,16
397,2020-08-16T15:36:51Z,,2020-12-13T17:54:31Z,1,6,0,"""dark-and-light"" : {
title_color: ""00fbff"",
icon_color: ""42f2f5"",
text_color: ""ffffff"",
bg_color: ""000000"",
}",2,3
400,2020-08-17T09:59:50Z,,2021-02-12T23:09:43Z,1,1,1,Added HTML tag to open the repository if an error appears,3,6
440,2020-09-02T20:47:12Z,,2021-02-12T23:09:42Z,1,6,0,,3,9
445,2020-09-09T19:16:11Z,2020-09-12T13:16:19Z,2020-09-12T13:16:19Z,6,33,7,"Simply allows a user to specify how many languages to show on the top-langs card, between 1 and 10. Default is still 5.
Example here: https://benjamins-readme-stats-bt29bovd9.vercel.app/api/top-langs/?username=scitronboy&layout=compact&theme=gruvbox&num_langs=10
Let me know if I need to add anything else to the PR.",3,6
459,2020-09-13T10:39:39Z,,2020-12-13T17:54:37Z,2,33,1,"Also, change let to const for API response.",3,3
480,2020-09-20T00:16:29Z,,2020-09-24T12:41:37Z,8,96,36,"/api/top-langs/?username=USER

/api/top-langs/?username=USER&count_forks=true

/api/pin/?username=USER&repo=REPO

/api/pin/?username=USER&repo=REPO&hide_border=true

(Hard to see... but it is removed.)
/api/top-langs/?username=USER&count_forks=true

/api/top-langs/?username=USER&count_forks=true&exclude_repo=REPO

Added prettier configs so users don't change the whole spacings.
closes #468",2,3
505,2020-09-27T22:58:13Z,,2021-03-06T07:22:51Z,3,28,4,"As requseted in #480
Making different PRs for the new features
Made it this way since you wanted an opt-out instead of opt-in.
/api/top-langs/?username=USER

/api/top-langs/?username=USER&exclude_forks=true

Will make PRs for the other features after this one is merged, otherwise we will get merge conflicts.",4,12
509,2020-09-28T16:53:02Z,2020-10-04T08:05:16Z,2020-10-04T08:05:16Z,16,337,27,"Add translations for the cards. Fixes #508.

 Add translation functionality (with Google Translate)
 Add tests and documentation
 Get translations verified or improved.

 Chinese
 German
 Spanish
 French
 Itallian
 Japanese
 Korean
 Portuguese


 Maybe move translations to one file (like src/common/translations.js) instead of in each src/cards/* file.",4,11
530,2020-10-02T19:21:14Z,2020-10-04T12:46:51Z,2020-10-04T12:46:51Z,1,6,0,,2,12
541,2020-10-04T15:36:52Z,2020-10-31T08:59:07Z,2020-10-31T08:59:07Z,11,432,0,"This branch adds Dutch language support to github-readme-stats.
Hope this helps, I love the project!",4,2
547,2020-10-05T12:10:08Z,,2021-01-16T11:12:01Z,1,5,5,,2,4
552,2020-10-06T11:24:31Z,2021-01-07T15:49:12Z,2021-01-07T15:49:12Z,1,405,0,,2,10
