number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
183,2017-02-03T16:38:03Z,2017-02-06T13:02:56Z,2017-02-06T13:02:56Z,2,2,2,Fixed service template to add the capital letter and fixed issue that was preventing the usage of mongoose,2,2
190,2017-03-07T14:53:26Z,2017-03-14T13:39:42Z,2017-03-14T13:39:42Z,5,42,30,"The major changes are:

Global policies: policies located in config/policies are now accessible through the entire app using the global.myGlobalPolicy syntax in routes.json files
Restricted scope policies: policies used without prefix from a routes.json file are restricted to the current API or plugin scope
Plugins policies: policies located in plugin/myPlugin/config/policies are now accessible through the entire app using the plugins.myPlugin.myPluginPolicy syntax
policies folders and files are now located in config folders
policies are now part of the config objects

Documentation
Global policies
From now, you can define global policies which are reusable through your entire app.
Usage
Define your policy:
// ./config/policies/isAuthenticated.js
'use strict';

/**
 * `isAuthenticated` policy.
 */

module.exports = async (ctx, next) => {
  // Add your before logic here.

  await next();

  // Add your after logic here.
};
Usage from an API or from a plugin:
// ./api/car/routes.json
{
  ""routes"": [
    {
      ""method"": ""GET"",
      ""path"": ""/car"",
      ""handler"": ""Car.find"",
      ""config"": {
        ""policies"": [
          ""*isAuthenticated""
        ]
      }
    }
  ]
}
Scoped policies
A policy defined in an API or plugin is usable only from this API or plugin. You don't need any prefix to use it.
Usage
Define your policy:
// ./api/car/config/policies/carPolicy.js
'use strict';

/**
 * `carPolicy` policy.
 */

module.exports = async (ctx, next) => {
  // Add your before logic here.

  await next();

  // Add your after logic here.
};
Usage from the API or from a plugin:
// ./api/car/routes.json
{
  ""routes"": [
    {
      ""method"": ""GET"",
      ""path"": ""/car"",
      ""handler"": ""Car.find"",
      ""config"": {
        ""policies"": [
          ""carPolicy""
        ]
      }
    }
  ]
}
Use plugins policies from APIs
Plugins policies are usable from any app API.
Usage
Define your policy:
// ./plugins/auth/config/policies/isAuthenticated.js
'use strict';

/**
 * `isAuthenticated` policy.
 */

module.exports = async (ctx, next) => {
  // Add your before logic here.

  await next();

  // Add your after logic here.
};
Usage from an API:
// ./api/car/routes.json
{
  ""routes"": [
    {
      ""method"": ""GET"",
      ""path"": ""/car"",
      ""handler"": ""Car.find"",
      ""config"": {
        ""policies"": [
          ""plugins.auth.isAuthenticated""
        ]
      }
    }
  ]
}
Access policies programmatically
Policies are accessible in the strapi object:

Global policy: strapi.config.myPolicy
API policy: strapi.api.myApi.config.myPolicy
Plugin policy: strapi.plugins.myPlugin.config.myPolicy",2,1
208,2017-05-03T10:03:06Z,2017-07-01T14:51:21Z,2017-07-01T14:51:21Z,7,196,12,"The major changes are:

Install plugin from the CLI
Uninstall plugin from the CLI

Documentation
Plugin installation
Allows the developer to install a plugin, using the CLI.
Basic usage
Considering you want to install a plugin named content-manager you can run the following command:
$ strapi install content-manager.
This supposed that this plugin is published on the npm registry as strapi-plugin-content-manager.
The command installs the plugin in the node_modules folder of your Strapi application, and then, move the plugin itself in the ./plugins folder, so you can edit it and version it.
Development mode
In order to make contributors life easier, a command is dedicated to development mode:
$ strapi install plugin-name --dev (eg. $ strapi install content-manager --dev)
This command creates a symlink between the Strapi application and the plugin, which should have been previously installed globally ($ npm link or $ npm install plugin-name -g).
Plugin uninstallation
Allows the developer to uninstall a plugin, using the CLI.
Basic usage
Command: $ strapi uninstall plugin-name (eg. $ strapi uninstall content-manager).
This command simply removes the plugin folder.",2,1
210,2017-05-11T15:55:38Z,2017-05-12T09:03:37Z,2017-05-12T09:03:37Z,376,304,2607,Separate strapi-generate-admin and strapi-admin packages,2,1
216,2017-07-13T09:09:38Z,2017-07-17T09:07:18Z,2017-07-17T09:07:18Z,403,9635,12878,,2,0
221,2017-07-28T17:02:00Z,2017-07-31T15:42:49Z,2017-07-31T15:42:49Z,148,3233,3562,"The core of Strapi re-designed from scratch! Some improvements have been made:

Remove dependencies to ensure the core is light as possible.
Load hook/middleware asynchronously to enable fast boot.
Simplify/reduce the codebase to facilitate new contributions.
Update configurations architecture to fit better with the API needs.

New file custom.json to have a dedicated place to put the custom configurations.
Allow hook configurations by environment.
New file response.json, request.json.
i18n.json renamed language.json
general.json renamed application.json
hooks.json renamed hook.json and splitted with middleware.json (new file)


Allow custom middlewares/hooks to be loaded directly from the app.
Harmonize database settings between connectors.
Harmonize configurations to keep consistency and logic into them.",3,7
223,2017-07-31T10:45:23Z,2017-08-02T08:17:29Z,2017-08-02T08:17:29Z,118,8455,2123,,4,1
225,2017-08-02T09:30:05Z,2017-08-02T13:40:43Z,2017-08-02T13:40:43Z,217,7979,20114,,3,1
226,2017-08-06T21:30:50Z,2017-08-09T16:33:25Z,2017-08-09T16:33:25Z,50,269,1134,"Changes have been made with only one goal: performances.

Remove proxy middleware (it's not our role to handle this kind of feature in the core).
Remove SSL middleware (we should provide a good tutorial nginx + Strapi instead).
Override Koa context and response to binding Boom methods into them instead of populating the context on each request.
Override Koa context to bind the new logger into it. It allows the user calls directly the logger through the context.

module.exports = {
  subscribe: async ctx => {
     ctx.log.info('My log');
  }
}

Deactivate security middlewares in the development environment.
Remove Winston and use Pino instead.
The following middlewares can't be deactivated: router, boom, responses because there are required to ensure the server will start correctly.
Expose router before initializing the middlewares which allow them to use it if they need it.
Use the router to serve static assets instead of using koa-static has a standalone middleware.
Remove useless dependencies.",2,1
227,2017-08-09T07:46:46Z,2017-08-23T14:34:44Z,2017-08-23T14:34:44Z,420,5131,29561,,4,2
228,2017-08-09T08:06:23Z,2017-08-10T13:05:38Z,2017-08-10T13:05:38Z,15,807,18239,,2,1
232,2017-08-16T15:07:08Z,2017-08-17T07:47:02Z,2017-08-17T07:47:02Z,173,565,1572,"Admin panel improvements (#231).
Adapt Content Manager to admin panel improvements.",2,1
233,2017-08-16T15:46:32Z,2017-08-17T11:44:21Z,2017-08-17T11:44:21Z,2,300,1,,2,1
235,2017-08-18T08:51:13Z,2017-08-23T14:35:25Z,2017-08-23T14:35:25Z,12,81,59,"The purpose of this PR is to improve the developer experience on new project.

Remove warnings on the first start
Display more understandable error message when MongoDB isn't started
Remove useless logs during the API generation
Improve index.html content",2,1
236,2017-08-22T09:29:10Z,2017-08-30T08:51:19Z,2017-08-30T08:51:19Z,757,5081,12,,4,1
243,2017-09-05T12:40:01Z,2017-09-07T14:50:16Z,2017-09-07T14:50:16Z,52,20377,265,,3,1
244,2017-09-06T12:56:34Z,2017-09-12T11:42:24Z,2017-09-12T11:42:24Z,1,1,1,,2,0
246,2017-09-12T11:46:07Z,2017-09-14T10:17:14Z,2017-09-14T10:17:14Z,9,15343,14,,2,1
247,2017-09-12T21:02:54Z,2017-09-14T08:34:44Z,2017-09-14T08:34:44Z,388,2288,20183,"Major changes:

Remove useless files
Update depencies, including React Router 4
Use strapi-helper-plugin as framework for the admin panel
Improve admin style",2,0
251,2017-09-25T11:29:13Z,2017-09-25T16:15:01Z,2017-09-25T16:15:01Z,171,4405,1687,,3,0
252,2017-09-25T12:19:27Z,2017-09-25T15:58:09Z,2017-09-25T15:58:09Z,690,14003,15313,,4,0
254,2017-09-26T15:43:27Z,2017-09-27T14:12:18Z,2017-09-27T14:12:18Z,66,249,204,,2,0
255,2017-09-26T15:58:28Z,2017-09-27T10:15:19Z,2017-09-27T10:15:19Z,60,362,383,"Fix React-intl error message
Update settings-manager design
Remove required props in settings manager
Fix settings manager left menu",3,1
260,2017-09-28T10:18:29Z,2017-09-29T09:19:51Z,2017-09-29T09:19:51Z,22,373,30,Add pluginRequirements.js method that prevents a plugin from being rendered if some conditions aren't met.,3,1
262,2017-09-30T16:28:05Z,2017-10-02T08:30:52Z,2017-10-02T08:30:52Z,36,471,336,"Update request.js helper to handle serverRestart watcher (prepare when route _healthis ready.
Remove all server restart timer in plugins' sagas
Created a global BlockerComponent that is rendered instead of a plugin (if the plugin's requirements aren't met)
Update plugin rendering and allow to pass a customBlockerComponent
Update stateless component generator with ES6 function
Add a button loader to settings-manager plugin which informs the user that the server will restart
Add number types translations to content-type view in content-type-builder plugin",2,0
271,2017-10-10T13:20:33Z,2017-10-12T08:40:28Z,2017-10-12T08:40:28Z,12,224,28,Add filters to generated APIs,3,1
272,2017-10-10T16:12:50Z,2017-10-11T09:51:26Z,2017-10-11T09:51:26Z,27,445,128,"Fix settings-manager css, wordings and minor bugs
Update AdminPage container's context so each plugin has access to the updatePlugin and plugins props from the context. This feature allows the plugins to update the Admin app.",2,1
276,2017-10-16T14:38:15Z,2017-10-18T13:16:59Z,2017-10-18T13:16:59Z,1263,51385,42099,"This release is one of the biggest we ever made! It introduces a lot of new features and two more plugins. There are still issues that will be fixed in the next releases.
Major changes

[Admin] Reduce the number of steps to be able to contribute.
[Admin] Reduce bundle size by sharing commons dependencies.
[Admin] Update strapi-helper-plugin and strapi-admin dependencies to the latest version.
[Plugin] Content Manager.
[Plugin] Content-Type Builder.
[Plugin] Finalize the query process to be able to use different ORMs.
[Plugin] Execute bootstrap function before mounting.
[Plugin] Execute requirement function to allow or not rendering.
Write new documentation.

Known issues

Switch from Many-to-many to One-to-many relationships on the same attributes will cause an issue to the Content Manager UI to add or remove relations.
Unique validation error isn't displayed properly in the Content Manager.
You can select multiple times the same entry in the relation input.
Required relationships don't work yet.
Relationships don't work perfectly in the generated APIs using Mongo template.",5,2
281,2017-10-17T15:46:22Z,2017-10-18T12:44:50Z,2017-10-18T12:44:50Z,37,494,465,"Implement ErrorBoundary component
Fix several component css
Fix content-manager model transition
Fix content-type-builderplugin model creation bug in content-manager plugin
Use PopUpWarning component in all plugins
Created Ico and IcoContainer container components and implement them in content-managerand content-type-builder plugins
Update documentation according to these changes",2,1
284,2017-10-18T21:17:54Z,2017-10-23T08:25:16Z,2017-10-23T08:25:16Z,1,1,1,There was a typo in CONTRIBUTING.md when you switched over from your old email address,2,1
292,2017-10-21T15:09:03Z,2017-10-23T12:16:12Z,2017-10-23T12:16:12Z,23,251,58,"Design HomePage
Created ListRow component
Fix SelectMany css
Prevent user from adding duplicate relations
Fix content-manager CANCEL_CHANGES bug
Fix content-type-builder dominantkey bug",2,1
299,2017-10-23T09:24:06Z,2017-10-23T12:39:15Z,2017-10-23T12:39:15Z,35,95,74,,2,0
301,2017-10-24T13:06:38Z,2017-10-25T15:24:14Z,2017-10-25T15:24:14Z,17,310,27,"Create a way to inject components from one plugin into another
Update documentation accordingly
Fix strapi-generate:plugin (update with current strapi version and files generated)
Fix Admin HomePage channel links css",2,1
303,2017-10-25T13:19:58Z,2017-10-25T15:37:29Z,2017-10-25T15:37:29Z,6,9,9,"Fix bug when updating newly created content-type nameor description
Fix bug when setting a quote in a content type description",2,1
305,2017-10-25T16:50:48Z,2017-10-30T09:42:30Z,2017-10-30T09:42:30Z,17,255,129,Improve files generated when creating a new plugin,3,1
307,2017-10-27T02:56:27Z,2017-10-27T09:23:08Z,2017-10-27T09:23:08Z,1,4,2,Addresses #162. Allow for the passing and using of a config json value when strapi starts instead of relying on preconfigured config values,2,1
