number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
19,2017-08-15T16:17:16Z,2018-04-25T21:18:49Z,2018-04-25T21:18:49Z,4,66,4,"As suggested by #6. colortool -o <filename> will write the current properties to <filename>, in ini file format.",7,0
25,2017-08-28T17:06:15Z,2018-04-25T21:23:47Z,2018-04-25T21:23:47Z,6,30,12,"This will automatically generate a lit of parsers that are available. I'm not sure what the best names are, but it currently searches for anything that implements ISchemeParser and outputs a name such as:
Usage:
    colortool.exe [options] <schemename>
ColorTool is a utility for helping to set the color palette of the Windows Console.
By default, applies the colors in the specified .itermcolors or .ini file to the current console window.
This does NOT save the properties automatically. For that, you'll need to open the properties sheet and hit ""Ok"".
Included should be a `schemes/` directory with a selection of schemes of both formats for examples.
Feel free to add your own preferred scheme to that directory.
Arguments:
    <schemename>: The name of a color scheme. ct will try to first load it as an .itermcolors color scheme.
                  If that fails, it will look for it as an .ini file color scheme.
Options:
    -?, --help     : Display this help message
    -c, --current  : Print the color table for the currently applied scheme
    -q, --quiet    : Don't print the color table after applying
    -d, --defaults : Apply the scheme to only the defaults in the registry
    -b, --both     : Apply the scheme to both the current console and the defaults.
    -v, --version  : Display the version number

Available importers:
  INI File Parser
  iTerm Parser

Fixes #24",4,1
50,2018-01-19T21:51:17Z,2018-10-02T17:24:39Z,2018-10-02T17:24:39Z,3,334,154,"Because most of the console API's don't work in WSL via interop, ColorTool wouldn't work inside of the WSL environment.
As of recent Windows 10 Insider's builds, we added support for a VT sequence you can use to set the color table. With that support added, ColorTool can instead emit the appropriate VT sequences, and change the color table that way in Windows builds after 17048.",4,8
164,2018-04-29T15:46:49Z,2018-04-30T15:26:33Z,2018-04-30T15:26:33Z,1,4,2,"For use cases where ColorTool has been added to and invoked from PATH, for instance, using a relative path from the working directory to print schemes will result in an empty list. Instead, use the path of the ColorTool.exe to find installed schemes.",2,1
181,2018-05-16T16:52:11Z,2018-10-02T16:11:50Z,2018-10-02T16:11:50Z,2,5,5,,4,2
184,2018-05-17T10:29:06Z,2018-05-17T15:18:04Z,2018-05-17T15:18:04Z,1,4,2,,2,0
197,2018-05-31T11:01:45Z,2018-06-06T21:54:29Z,2018-06-06T21:54:30Z,3,51,69,"This PR addresses the following to-do comment in the code by introducing Scheme.GetSearchPaths method that is then used from IniSchemeParser and XmlSchemeParser:
https://github.com/Microsoft/console/blob/f334ba68c94e974d8326f2f39ad89ab739761bd5/tools/ColorTool/ColorTool/IniSchemeParser.cs#L73-L75",3,2
236,2018-08-19T05:16:39Z,2018-10-02T16:09:49Z,2018-10-02T16:09:49Z,1,3,4,"Fixes UIntToColor to use the same BGR color ordering that the ColorScheme uses, so the -s --schemes output makes sense.",2,0
247,2018-08-31T00:03:48Z,2018-09-11T03:07:18Z,2018-09-11T03:07:18Z,8,486,0,Sample app to illustrate how to use the new ConPTY APIs & infrastructure.,3,1
260,2018-09-20T15:21:40Z,2018-10-04T17:18:35Z,2018-10-04T17:18:35Z,14,740,0,"As I mentioned in #251, I've been working on a basic C# terminal that uses the new PseudoConsole APIs. It's at a point where I've fixed all the known bugs, and I think it could be a useful sample in this repo.
The demo is similar to the existing EchoCon example in that it uses the virtual terminal processing feature, starts up a pseudoconsole, and runs a command. It also handles ctrl-c and window exit.
I'd appreciate some advice on ways to improve it as I'm fairly inexperienced when it comes to writing terminals and pinvoking Windows APIs. The following areas might need some attention:

 Handling when the user types exit. Right now it exits the terminal, when the user might just want to exit whatever the currently running process is. There's a TODO marking that area. Completed this, now we wait for the top-level process to exit.
 I've used the .NET SafeFileHandle class in place of some of the IntPtrs normally found in PInvoke signatures. I'm not sure what the best practice is here.

I've split this PR into three commits, the final commit will be the most interesting to review.
I've tested this with the following versions:

OS: Windows 10 Pro Build 17744
SDK: Windows_InsiderPreview_SDK_en-us_17749

Thanks!",4,5
