number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
542,2016-01-07T18:34:14Z,,2019-11-06T17:36:53Z,1,1,0,I use petl every day for ETL.  I have no affiliation with the project other than being a very happy user.,3,3
725,2016-09-16T11:33:44Z,2016-11-18T06:36:50Z,2016-11-18T06:36:50Z,1,1,0,"What is this Python project?
PyPattyrn is a python package aiming to make it easier and faster to implement design patterns into your own projects. Containing over 15 of the most common design patterns, you no longer have to write the same boilerplate code between all your projects when you wish to use a design pattern. This package captures that boilerplate code and makes it easy to use.
Example:
from pypattyrn.creational.singleton import Singleton

class DummyClass(object, metaclass=Singleton):
    ... 
DummyClass is now a Singleton.
What's the difference between this Python project and similar ones?
Every other design pattern repo I've found simply provides examples for how to implement design patterns in python. PyPattyrn is something you would actually import into your project to speed up development process because the boilerplate code necessary for the design pattern is already written and provided for you by the package. I have not found another package that does the same thing.

Anyone who agrees with this pull request could vote for it by adding a 👍 to it, and usually, the maintainer will merge it when votes reach 20.",3,0
758,2016-10-26T19:48:42Z,,2019-11-06T14:36:33Z,1,21,0,"What is this Python project?
Describe features.
What's the difference between this Python project and similar ones?
Enumerate comparisons.

Anyone who agrees with this pull request could vote for it by adding a 👍 to it, and usually, the maintainer will merge it when votes reach 20.",2,1
759,2016-10-27T10:29:15Z,,2019-11-06T15:36:59Z,1,1,0,"What is this Python project?
An easy-to-use Python library for displaying Windows 10 Toast Notifications which is useful for windows GUI development.


Anyone who agrees with this pull request could vote for it by adding a 👍 to it, and usually, the maintainer will merge it when votes reach 20.",2,2
787,2016-12-05T21:23:08Z,2017-02-02T07:47:23Z,2017-02-02T07:47:23Z,1,3,0,"What is this Python project?
Web2py: Free open source full-stack framework for rapid development of fast, scalable, secure and portable database-driven web-based applications.
What's the difference between this Python project and similar ones?
http://www.web2py.com/examples/static/web2py_vs_others.pdf
Anyone who agrees with this pull request could vote for it by adding a 👍 to it, and usually, the maintainer will merge it when votes reach 20.",3,3
792,2016-12-14T00:32:44Z,,2017-01-11T18:34:43Z,1,1,0,"What is this Python project?
The most popular 3D creation package - and it comes with Python3 as Scripting language.
It supports the entirety of the 3D pipeline—modeling, rigging, animation, simulation, rendering, compositing and motion tracking, even video editing and game creation.

blender docs
python docs

What's the difference between this Python project and similar ones?
Blender covers all aspects of image/video/game creation and
is the most complete open source package available in this area.
--
Anyone who agrees with this pull request could vote for it by adding a 👍 to it, and usually, the maintainer will merge it when votes reach 20.",2,0
825,2017-01-30T10:15:35Z,2017-01-31T09:02:17Z,2017-01-31T09:02:17Z,1,1,0,"Disclaimer: I'm the author of surprise ;)
What is this Python project?
Surprise is a Python scikit building and analysing recommender systems.
Main features:

Give the user perfect control over his experiments. To this end, a strong  emphasis is laid on   documentation, which we  have tried to make as clear and precise as possible by pointing out every  details of the algorithms.
Alleviate the pain of Dataset  handling.   Users can use both built-in datasets
(Movielens,  Jester), and their own custom  datasets.
Provide various ready-to-use prediction  algorithms  such as baseline  algorithms,  neighborhood  methods, matrix  factorization-based (  SVD,  PMF,  SVD++,  NMF),  and many  others.  Also, various similarity
measures  (cosine, MSD, pearson...) are built-in.
Make it easy to implement new algorithm  ideas.
Provide tools to evaluate,  analyse  and  compare  the algorithms performance. Cross-validation procedures can be run very  easily, as well as exhaustive search over a set of  parameters.

What's the difference between this Python project and similar ones?

According to any google search, crab is the go-to package for RS. But it actually only has one prediction algorithm (k-NN), no evaluation tools, no doc, and has been dead for three years.
The second most popular package I think is Recsys. Provides with two prediction algorithms (k-NN and SVD) but is also unmaintained. Evaluation tools are very minimal.
There's GraphLab, which is not free and needs license registration. I've heard good feedback about it, but never used it.
LightFM. This package is focused on a specific set of algorithms (all Boolean-valued) and does not provide with other classical approaches.

I think what makes Surprise is it's doc, the variety of prediction algorithms and the ability to evaluate the performances of algorithms easily (cross-validation, GridSearch, etc.). This makes it a useful tool to get your hands dirty quickly with recommender systems.
--
Anyone who agrees with this pull request could vote for it by adding a 👍 to it, and usually, the maintainer will merge it when votes reach 20.",2,0
836,2017-02-21T14:08:01Z,,2019-11-29T11:24:51Z,1,1,0,"What is this Python project?
It's a framework for scraping HTML sites, and aggregating data from multiple sites from a same category (e.g. banking sites, news sites, video sites, etc.).
There are ready-made modules for popular websites and ready-apps to interact with them.
Think youtube-dl applied to other domains than video!
What's the difference between this Python project and similar ones?

It's possible to scrape new websites with declarative-style extraction rules
It provides a standardized API for categories of sites for dedicated tasks (e.g. banking, web forums, video sites, news sites, music lyrics sites, etc.)

Scraped websites are grouped in those categories


Scraped websites are grouped in categories for a dedicated task:
The project comes with many existing backends for real-life websites
It has an internal upgrade system",2,7
853,2017-03-12T18:06:27Z,2017-03-15T03:03:24Z,2017-03-15T03:03:24Z,1,1,0,"What is this Python project?
https://github.com/google/python-fire

Python Fire is a simple way to create a CLI in Python.
Python Fire is a helpful tool for developing and debugging Python code.
Python Fire helps with exploring existing code or turning other people's code
into a CLI.
Python Fire makes transitioning between Bash and Python easier.
Python Fire makes using a Python REPL easier by setting up the REPL with the
modules and variables you'll need already imported and created.

What's the difference between this Python project and similar ones?
Fire is not as flexible as click, yet it provides an easier way to start a simple CLI program.
--
Anyone who agrees with this pull request could vote for it by adding a 👍 to it, and usually, the maintainer will merge it when votes reach 20.",2,0
854,2017-03-12T18:23:43Z,,2018-04-26T15:01:25Z,1,1,1,This project has been moved to an org account.,1,0
891,2017-05-24T16:56:27Z,,2019-11-06T13:36:48Z,1,1,1,"The link to pysonar2 404'd, here is a link to a repository that I think hosts the same code.",3,1
