number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
31,2017-10-19T11:52:58Z,2017-10-19T14:03:38Z,2017-10-19T14:03:38Z,1,45,33,"use https when possible
minor Markdown consistency changes

This should be merged after #30.",2,1
39,2017-10-20T13:17:11Z,,2017-10-20T16:37:07Z,1,1,0,,2,3
40,2017-10-20T14:54:15Z,2017-10-20T16:32:49Z,2017-10-20T16:32:49Z,1,20,3,"Hi David,
I added a few options in regards to security of websites. This is mainly targeting HTTP headers. With the URLs to scanning services one would be able to tweak and improve their site(s) easily.
Regards, JoKi",2,1
48,2017-10-20T20:58:37Z,,2017-10-23T06:48:29Z,1,1,1,,2,1
51,2017-10-21T15:09:57Z,,2018-07-22T04:45:54Z,1,0,2,"Awesome job on such a comprehensive list!
I had one rather large problem with the use of pixel perfect as a recommendation. With the proliferation of mobile devices and constant drive upwards in screen density I feel as a highly recommended practice this should be actively discouraged.
Now more than ever we are building systems of components that work together within the constraints of this large device landscape. Having this on the list sends the wrong message that it's acceptable without the context of the whole system. We should actively discourage the workflow in favour of close collaboration and education with designers less familiar with our front-end challenges. Often small discrepancies between mock and prod are due to needed compromise and aim to make the design stronger / more maintainable in the long term.
Falling down the rabbit hole of pixel nudging at arbitrary resolutions will only compromise the overall integrity of a system.
Just my 2c, thanks again for the work you have put in here.",8,14
96,2017-10-25T20:11:27Z,2017-10-26T06:31:19Z,2017-10-26T06:31:19Z,1,1,4,#88 This is my suggested wording (feel free to edit),2,0
97,2017-10-26T10:27:43Z,2017-10-26T11:36:16Z,2017-10-26T11:36:16Z,1,2,2,"I confused what width and height are meaning during I was translating this cool documentation.
I think attributes should be written like `width`.
Thanks 😊",2,1
100,2017-10-26T18:33:37Z,2017-10-27T02:20:50Z,2017-10-27T02:20:50Z,1,4,0,"Hello,
I continue adding points from my performance checklist with the recommendation to use static components instead of iframes or components relying on external websites when possible.
I've set a medium level of flexibility on this one, as it can have an important impact on performance but depends on the kind of component you want to use.",2,3
103,2017-10-26T21:21:54Z,2017-10-27T02:19:04Z,2017-10-27T02:19:04Z,1,1,1,,2,1
106,2017-10-27T14:13:44Z,,2017-11-30T12:23:51Z,1,13,20,"Grammar corrections on lines: 85, 156, 200, 540",4,5
109,2017-10-27T21:32:16Z,2017-10-28T17:27:39Z,2017-10-28T17:27:39Z,1,6,0,"Providing these options ensures that the share image is immediately rendered in preview every time, without it the first time there will be no image preview until Facebook has crawled the site once - particularly useful if you have generated share images.",3,3
114,2017-10-29T03:07:30Z,2017-10-29T06:19:28Z,2017-10-29T06:19:28Z,1,1,0,"@thedaviddias
Here is Traditional Chinese version.
Thanks for share awesome checklist.",2,1
117,2017-10-29T20:33:36Z,2017-10-30T06:20:11Z,2017-10-30T06:20:11Z,1,3,1,"Add Kraken.io as an alternative tool to optimize;
Add about aria roles categorization;
Add Google considerations about web fonts.",2,1
141,2017-11-06T19:10:25Z,2017-11-09T01:06:19Z,2017-11-09T01:06:19Z,3,100,4,"This pull request adds backers and sponsors from your Open Collective https://opencollective.com/Front-End-Checklist ❤️
It adds two badges at the top to show the latest number of backers and sponsors. It also adds placeholders so that the avatar/logo of new backers/sponsors can automatically be shown without having to update your README.md. [more info]. See how it looks on this repo.
You can also add a ""Donate"" button to your website and automatically show your backers and sponsors there with our widgets. Have a look here: https://opencollective.com/widgets
P.S: As with any pull request, feel free to comment or suggest changes. The only thing ""required"" are the placeholders on the README because we believe it's important to acknowledge the people in your community that are contributing (financially or with code!).
Thank you for your great contribution to the open source community. You are awesome! 🙌
And welcome to the open collective community! 😊
Come chat with us in the #opensource channel on https://slack.opencollective.com - great place to ask questions and share best practices with other open source sustainers!",2,1
155,2017-11-16T15:00:00Z,2017-11-16T18:58:56Z,2017-11-16T18:58:56Z,1,12,0,"Fixes: #61

 Check the commit's or even all commits' message styles matches our requested structure.
 Check your code additions will fail neither code linting checks nor unit test.

Short description of what this resolves:
Adds link tags for paginated content",2,1
172,2017-11-29T09:58:01Z,2017-11-29T11:49:23Z,2017-11-29T11:49:23Z,1,1,0,"Fixes: #
🚨 Please review the guidelines for contributing and our code of conduct to this repository. 🚨
Please complete these steps and check these boxes (by putting an x inside the brackets) before filing your PR:

 Check the commit's or even all commits' message styles matches our requested structure.
 Check your code additions will fail neither code linting checks nor unit test.

Short description of what this resolves:
Prevents repainting while scrolling by pomoting the sidebar to its own compositor layer.
Proposed changes:
Promotes the sidebar to its own layer by using will-change: transform
👍 Thank you!",2,1
186,2017-12-04T18:45:31Z,,2018-07-22T04:45:55Z,1,6,0,Frontend applications frequently include libraries that are either not required in modern browsers or do too much extra stuff than required.,2,4
195,2017-12-07T14:13:48Z,2017-12-10T12:10:51Z,2017-12-10T12:10:51Z,1,36,43,"…rors

Fixes: #
🚨 Please review the guidelines for contributing and our code of conduct to this repository. 🚨
Please complete these steps and check these boxes (by putting an x inside the brackets) before filing your PR:

 Check the commit's or even all commits' message styles matches our requested structure.
 Check your code additions will fail neither code linting checks nor unit test.

Short description of what this resolves:
Proposed changes:

delete duplicated Sitemap HTML in SEO rules
correct order rules SEO

👍 Thank you!",2,2
196,2017-12-08T23:56:23Z,,2017-12-10T12:09:49Z,1,1,1,"Version 0.61.0 of flow-bin was just published.

  
    
      Dependency
    
    
      flow-bin
    
  
  
    
      Current Version
    
    
      0.59.0
    
  
  
    
      Type
    
    
      devDependency
    
  

The version 0.61.0 is not covered by your current version range.
If you don’t accept this pull request, your project will work just like it did before. However, you might be missing out on a bunch of new features, fixes and/or performance improvements from the dependency update.
It might be worth looking into these changes and trying to get this project onto the latest version of flow-bin.
If you have a solid test suite and good coverage, a passing build is a strong indicator that you can take advantage of these changes directly by merging the proposed change into your project. If the build fails or you don’t have such unconditional trust in your tests, this branch is a great starting point for you to work on the update.


Commits
The new version differs by 5 commits.

e4dcfdb v0.61.0
873a43a v0.60.1
65d93cf v0.60.0
1829d25 Merge pull request #99 from flowtype/mit
e527bf1 Update license to MIT

See the full diff


  FAQ and help
There is a collection of frequently asked questions. If those don’t help, you can always ask the humans behind Greenkeeper.


Your Greenkeeper bot 🌴",2,0
197,2017-12-09T05:56:23Z,,2018-07-22T04:45:58Z,1,3,2,"Google officially increases length of snippets in search results

Fixes:
🚨 Please review the guidelines for contributing and our code of conduct to this repository. 🚨
Please complete these steps and check these boxes (by putting an x inside the brackets) before filing your PR:

 Check the commit's or even all commits' message styles matches our requested structure.
 Check your code additions will fail neither code linting checks nor unit test.

Short description of what this resolves:
Meta Description length has grown from 160 characters to almost 230 characters on average.
Proposed changes:





👍 Thank you!",4,5
