number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
1,2019-11-07T09:57:11Z,2019-11-08T04:31:24Z,2019-11-08T04:31:24Z,9,836,40,,2,1
96,2020-06-10T18:10:46Z,2020-06-11T11:36:45Z,2020-06-11T11:36:45Z,1,8,0,changes have been done please rectify them.,3,9
98,2020-06-15T14:37:24Z,2020-06-16T04:33:28Z,2020-06-16T04:33:28Z,3,54,73,"What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

docs update",2,3
139,2020-08-09T09:04:17Z,2020-08-13T07:14:35Z,2020-08-13T07:14:35Z,12,393,307,"r? @kiwicopple @awalias

What kind of change does this PR introduce? (Bug fix, feature, docs update, ...)

I've submitted this example to the next.js repo: vercel/next.js#16016. These are the changes I had to make for the linting on their ent to pass.

Changes to pass linting.
Update the README to be coherent with the other examples.",3,1
156,2020-08-28T09:09:51Z,2020-08-29T07:27:15Z,2020-08-29T07:27:15Z,2,58,8,"What kind of change does this PR introduce?
update docs with UMD bundle example
What is the new behavior?

Additional context
#155",3,1
157,2020-08-28T12:07:55Z,,2020-11-02T03:36:23Z,4,108,0,Adds docs for email confirmation and password reset to avoid people trying to implement it themselves,2,1
253,2020-10-15T14:20:10Z,2020-11-02T03:08:02Z,2020-11-02T03:08:02Z,189,75628,6474,"What kind of change does this PR introduce?
Updates the docs with the new developer experience: https://deploy-preview-253--supabase.netlify.app/docs


Documents the new Auth using gotrue-js


Fixes #179


 Add OAuth links #241 (comment)


 Add docs on Policies


Additional context
Related PR on supabase-js supabase/supabase-js#50",2,2
398,2020-12-16T19:45:22Z,2020-12-16T23:12:55Z,2020-12-16T23:12:55Z,5,48,31,"What kind of change does this PR introduce?
(This one is based on #370.)
On top of the changes in #370, I consolidated two separates sections on policies in guides/auth.mdx into a single section. I think it's slightly easier to read that way.",2,1
399,2020-12-16T21:01:07Z,2020-12-16T23:08:19Z,2020-12-16T23:08:19Z,17,21,21,"What kind of change does this PR introduce?
Fixing the cases of JavaScript and TypeScript for consistency.",2,1
406,2020-12-17T00:30:35Z,,2020-12-23T18:49:54Z,3,10,12,"Regenerated client docs with the following command in web:
ts-node ReferenceGenerator.ts -o docs/client spec/supabase.yml
It seems like the only changes it made were changing the order of the parameters for some reason.",2,5
407,2020-12-17T03:33:41Z,2021-01-08T11:27:42Z,2021-01-08T11:27:42Z,6,328,196,"This PR is related to #383.
It fixes part of the second issue in #383, but not the whole thing.
When I send a password reset request and click the link, this app is now able to handle it.
However, when I send a magic login request and click that link, this app does the same thing (shows you the password reset form).
It's because there doesn't seem to be any way to distinguish these two redirect links - both of them have type=recovery in them. Anyway, I'd be happy to look into the backend if it helps.",3,9
527,2021-01-15T10:08:55Z,2021-01-16T03:58:02Z,2021-01-16T03:58:02Z,12,4211,17737,"What kind of change does this PR introduce?

fix(examples/nextjs-todo-list): refactor initSupabase
fix(examples/nextjs-todo-list): Add Supabase UI Auth component

cc @MildTomato @phamhieu",2,1
530,2021-01-15T11:42:31Z,2021-01-21T06:24:16Z,2021-01-21T06:24:16Z,22,12473,0,"What kind of change does this PR introduce?
Adds a create-react-app todo example
Additional context
closes #209
So I mostly took help from the nextjs-todo-list example but I have added a password reset component too.
I have copy-pasta'd the readme from nextjs-todo and made minor changes in it for cra but haven't added a demo and deploy with vercel since it requires the folder to be in this repo (?)
Tell me if there are any changes to be made!",2,5
746,2021-02-18T11:43:02Z,2021-02-18T12:51:43Z,2021-02-18T12:51:43Z,1,3,1,"What kind of change does this PR introduce?
Bug fix, feature, docs update, ...
What is the current behavior?
Please link any relevant issues here.
What is the new behavior?
Feel free to include screenshots if it includes visual changes.
Additional context
Add any other context or screenshots.",2,2
763,2021-02-22T08:05:44Z,2021-02-22T09:29:39Z,2021-02-22T09:29:39Z,4,4,4,"What kind of change does this PR introduce?
Docs Update: The examples require Quick Starts, but instructions on how to run these were too brief.
What is the current behavior?
New users are unable to find the ""Quick Start""s as mentioned in the example README.md's, getting stuck.
What is the new behavior?
Readme.md now tells users where to find the Quick Starts. in the future a screenshot similar to the one used in the Slack Scone example might also be a good idea.
Additional context
I had trouble with the examples because I just assumed Quick Starts were TBA, and these were just being updated. That is until I realized that you had to run them from https://app.supabase.io/. So I'm just forking this in, hoping to save a few headaches.",2,2
818,2021-03-06T05:24:41Z,2021-03-08T01:29:52Z,2021-03-08T01:29:52Z,3,209,0,For review / edits,2,1
833,2021-03-08T07:33:42Z,2021-03-12T09:26:25Z,2021-03-12T09:26:25Z,1,2,2,The syntax seems to have changed at some point.,2,1
846,2021-03-10T00:57:23Z,2021-03-10T11:54:06Z,2021-03-10T11:54:06Z,2,3,1,"What kind of change does this PR introduce?
docs update
What is the current behavior?
User isn't sure of the impact of removeSubscription().
What is the new behavior?
User now knows that Realtime server will be less performant if there are more and more simultaneous users subscribed and unused subscriptions are not removed.
Additional context
This is a follow up to a user specifically asking what happens if they do not remove subscriptions.",2,1
873,2021-03-15T07:28:20Z,2021-03-17T09:10:28Z,2021-03-17T09:10:28Z,167,7168,314,,3,3
914,2021-03-22T08:05:19Z,2021-03-24T06:34:51Z,2021-03-24T06:34:51Z,2,5,1,"What kind of change does this PR introduce?
I fixed the same issue as in #912
What is the current behavior?
Please link any relevant issues here.
What is the new behavior?
Feel free to include screenshots if it includes visual changes.
Additional context
Add any other context or screenshots.",3,5
918,2021-03-22T20:31:50Z,,2021-04-09T15:28:56Z,7,31,21,"What kind of change does this PR introduce?
Home page UI improvements",4,5
1007,2021-03-31T11:05:32Z,2021-07-23T06:40:45Z,2021-07-23T06:40:45Z,4,150,3,"Adds the storage schema to postgres
Updates the docker-compose file to use storage-api docker image",3,1
1054,2021-04-04T15:49:43Z,,2022-08-09T13:51:51Z,2,55,7,"What kind of change does this PR introduce?
Trying to emulate localStorage which is synchronous with AsyncLocalStorage in the Expo example. It's not the most elegant solution but it should do the job.
What is the current behavior?
Supabase relies on localStorage but and does not expect it to return a promise, which causes that Supabase is not able to get values from the storage (e.g. auth).
What is the new behavior?
Emulated storage retrieves all keys from the AsyncLocalStorage and stores them locally, so they can be accessed synchronously. Also, it pauses the rendering of the App until the storage is ready and SupabaseClient can be initialized. Additionally, I've disabled detecting of the session in the URL because window.location is not available in Expo.",6,11
1058,2021-04-04T18:36:11Z,2021-04-15T08:45:13Z,2021-04-15T08:45:13Z,26,36,36,"What kind of change does this PR introduce?
docs update
What is the current behavior?
A few grammar mistakes and typos, also not sure what lang (en-US or en-GB) you guys are following to keep the documentation, I just sensed, most of the documentation is following the en-GB rule, so I change the text accordingly.
What is the new behavior?
Feel free to include screenshots if it includes visual changes.
Additional context
No, there's no additional context.",4,9
