number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
61,2020-02-29T09:27:49Z,2020-03-01T12:32:47Z,2020-03-01T12:32:47Z,3,183,185,翻译了本文和一个图片里的题目翻译了，这样可以吗？,2,4
78,2020-03-01T02:33:00Z,2020-03-01T05:09:21Z,2020-03-01T05:09:21Z,2,213,216,这是第一个迭代版本，相信以后会有更好的翻译来进行迭代，我认为好的翻译应该是，特别精简，省略很多无关紧要的语言细节，仅仅用几个动词就可以表达很长的句子，当然这只是我的认为，我的翻译并没有做到这一点，希望后期版本越来越好，收获更多星星吧。,2,1
87,2020-03-01T05:13:32Z,2020-03-01T11:10:42Z,2020-03-01T11:10:42Z,4,119,104,"完成 最长子回文串.md -> The Longest Palindromic Substring.md 翻译
translator: Lrc123
文化输出赛高！",2,4
89,2020-03-01T07:02:12Z,2020-03-01T11:41:33Z,2020-03-01T11:41:33Z,6,220,225,您好！本次 PR 主要对 english 分支的一篇中文文章 UnionFind算法应用 进行了翻译，并将文件名更改为 Union-Find-Application，如果您有任何建议，肯定您提出，我会进一步做出修改，谢谢！很荣幸能够做出贡献！,2,3
90,2020-03-01T07:19:22Z,2020-03-01T12:43:16Z,2020-03-01T12:43:16Z,2,122,119,翻译 数据结构系列/单调栈,2,0
97,2020-03-01T10:09:54Z,2020-03-02T11:17:15Z,2020-03-02T11:17:15Z,10,223,0,"translate 高频面试系列/座位调度.md
嘻嘻嘻",2,2
98,2020-03-01T11:36:46Z,2020-03-01T13:10:20Z,2020-03-01T13:10:20Z,9,271,263,英语水平有限，如有翻译不当之处，还请指出。,2,2
107,2020-03-01T23:12:24Z,2020-03-02T04:06:58Z,2020-03-02T04:06:59Z,2,94,81,"算法学习之路全文翻译，谢谢给予这次练习机会。
第一次PR，还请多多指教！",2,5
115,2020-03-02T05:38:31Z,2020-03-02T11:39:50Z,2020-03-02T11:39:51Z,2,199,199,translate 算法思路系列/双指针技巧,2,0
234,2020-04-01T22:26:03Z,,2020-06-22T02:06:56Z,1,10,9,Removed redundant spaces to properly format bold statements.,3,0
318,2020-06-22T09:52:19Z,,2020-11-04T08:34:51Z,2,153,5,双百,2,0
322,2020-06-22T11:20:29Z,,2020-11-04T08:34:52Z,1,47,3,添加对应的C++代码,2,0
324,2020-06-22T11:34:33Z,,2020-11-04T08:34:52Z,1,59,1,添加对应的C++版本,2,0
338,2020-06-22T21:49:55Z,,2020-11-04T08:34:31Z,3,84,19,,2,1
427,2020-07-28T09:58:34Z,2020-09-23T03:29:55Z,2020-09-23T03:29:55Z,1,53,42,"我已阅读过翻译组工作流程，我已阅读过翻译要求，我已查看 已完成列表，确保我要翻译的文章还没有被翻译。
我将开始翻译如下文章（点击可查看目标文章）：

README.md
我对如何翻译此文章已经心中有数，我准备将它翻译成：英文
主仓库, 本来是想开始翻译第零系列的， 但开工的时候发现到 算法思维系列/学习数据结构和算法的高效方法.md 已经翻译了，而且第零章列出来的也在其他系列显示。
我看了raw README.md 分析了中文和英文的文件名变同步了一下。 我个人英文比中文好，感觉目录没有同步到比较难跟着中文版的思路去参考 。也顺便修改了语法和typo.
感谢开发这个resource, 希望我接下来参考也可以进步英文的翻译，至于中文到英文和学习算法题方面， 请多指教！",2,3
486,2020-11-10T05:09:58Z,,2020-11-17T09:24:12Z,1,55,4,,2,2
507,2020-11-11T04:56:01Z,2020-11-17T09:49:14Z,2020-11-17T09:49:14Z,1,46,0,"二分查找

动态规划",4,0
579,2020-11-12T02:18:48Z,,2021-03-15T07:14:08Z,1,212,0,,3,1
608,2020-11-25T14:43:12Z,2021-03-20T08:13:02Z,2021-03-20T08:13:02Z,1,31,3,[高频面试系列]中[消失的元素.md]一文添加python3代码,2,0
904,2022-03-24T10:25:01Z,,2023-03-26T06:22:50Z,1,1,1,,3,0
980,2022-09-03T16:38:40Z,2022-09-06T12:51:20Z,2022-09-06T12:51:20Z,1,30,30,,2,0
1087,2022-09-20T17:52:55Z,2023-03-26T06:19:10Z,2023-03-26T06:19:10Z,1,7,7,,2,0
1107,2023-02-27T01:45:12Z,2023-03-26T06:16:36Z,2023-03-26T06:16:36Z,1,1,1,,2,0
1372,2023-03-26T17:49:32Z,2023-03-26T23:11:36Z,2023-03-26T23:11:36Z,1,3,3,"Fixes #1348
我修改的是如下题目的 Python 解法：
qing-wa-tiao-tai-jie-wen-ti-lcof
通过截图如下：",2,0
1374,2023-03-26T21:31:39Z,2023-03-27T00:28:49Z,2023-03-27T00:28:49Z,1,3,3,"Fixes #1373 
我修改的是如下题目的 c++ 解法：

https://leetcode.cn/problems/edit-distance/
通过截图如下：",2,0
1378,2023-03-27T03:05:42Z,2023-03-28T01:31:10Z,2023-03-28T01:31:10Z,1,3,3,"Fixes  #1361 
我修改的是如下题目的 c++ 解法：

https://leetcode.cn/problems/xu-lie-hua-er-cha-shu-lcof/
通过截图如下：",2,0
1382,2023-03-29T18:57:44Z,2023-04-02T10:16:02Z,2023-04-02T10:16:02Z,1,7,3,"Fixes #1345 
我修改的是如下题目的 c++ 解法：
https://leetcode.cn/problems/qing-wa-tiao-tai-jie-wen-ti-lcof/

通过截图如下：",2,0
1383,2023-03-30T08:32:43Z,2023-04-02T10:18:13Z,2023-04-02T10:18:14Z,1,4,1,"Fixes #1349
我修改的是如下题目的 cpp 解法：
https://leetcode.cn/problems/qn8gGX/
通过截图如下：",2,0
1385,2023-04-02T07:05:26Z,2023-04-02T10:19:38Z,2023-04-02T10:19:38Z,1,1,1,"Fixes #1283
我修改的是如下题目的 c++ 解法：
https://leetcode.cn/problems/ba-zi-fu-chuan-zhuan-huan-cheng-zheng-shu-lcof/

通过截图如下：",2,0
1387,2023-04-04T07:20:57Z,2023-04-10T01:34:44Z,2023-04-10T01:34:44Z,1,11,12,"Fixes #1175
我修改的是如下题目的 cpp 解法：
https://leetcode.cn/problems/sort-characters-by-frequency/
通过截图如下：",2,0
1388,2023-04-11T09:20:23Z,2023-04-13T02:09:53Z,2023-04-13T02:09:53Z,1,1,1,"Fixes #1208
我修改的是如下题目的 cpp 解法：
https://leetcode.cn/problems/rotate-image/
通过截图如下：",2,0
