number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
61,2020-05-07T01:51:57Z,,2020-05-07T13:22:26Z,1,1,0,,3,1
102,2020-05-07T13:21:54Z,,2020-05-07T15:53:48Z,1,1,0,A Free Font Awesome Alternative,2,0
148,2020-05-07T21:38:39Z,2020-05-08T10:06:06Z,2020-05-08T10:06:06Z,1,1,0,,3,0
165,2020-05-08T06:59:12Z,,2020-05-08T10:07:34Z,1,2,1,Added Semantic UI to the category of UI Components & Kits.,3,0
168,2020-05-08T08:00:55Z,2020-05-08T10:05:42Z,2020-05-08T10:05:42Z,1,0,1,,4,0
169,2020-05-08T08:20:05Z,2020-05-08T10:40:47Z,2020-05-08T10:40:47Z,1,1,1,,3,0
184,2020-05-08T11:44:47Z,2020-05-08T13:42:23Z,2020-05-08T13:42:23Z,1,2,0,https://logohub.io/,3,3
188,2020-05-08T12:08:19Z,2020-05-08T13:40:25Z,2020-05-08T13:40:25Z,1,1,0,Link : https://ng.ant.design/,2,0
192,2020-05-08T12:23:36Z,2020-05-08T13:45:16Z,2020-05-08T13:45:17Z,1,1,0,Link: https://musopen.org/music/,3,0
196,2020-05-08T12:32:25Z,2020-05-08T13:45:59Z,2020-05-08T13:45:59Z,1,1,0,Link: https://saaslandingpage.com/,3,0
205,2020-05-08T15:02:28Z,2020-05-08T16:14:14Z,2020-05-08T16:14:14Z,1,1,0,"[Webflow]
Break the code barrier
Build better business websites, faster. Without coding.
Link: https://webflow.com/
Checklist:

 I have performed a self-review of submitted resource and its follows the guidelines of the project.",4,5
218,2020-05-08T18:10:56Z,,2020-05-09T01:22:43Z,1,0,1,"CompressJPEG mirror Optimizilla.
Proof:",2,1
221,2020-05-08T19:11:55Z,,2020-05-09T09:39:51Z,1,1,1,I was add the link of freefrontend idea in the html and css templates section.,2,0
239,2020-05-09T11:35:15Z,2020-05-09T20:42:08Z,2020-05-09T20:42:08Z,1,1,0,"#118 [Chocolat.js]
A free lightbox plugin
Link: http://chocolat.insipi.de/
Checklist:

 I have performed a self-review of submitted resource and its follows the guidelines of the project.",3,1
321,2020-05-13T02:21:05Z,2020-05-13T09:31:01Z,2020-05-13T09:31:01Z,1,2,1,"[Nappy] -> [Stock Photos]
A website offering Beautiful, high-res photos of black and brown people.
Link: https://www.nappy.co/
[Free Design Resource] -> [Design Inspirations]
A site offering fonts, mockups, templates graphics and ui kits.
https://freedesignresources.net/
Checklist:

 I have performed a self-review of submitted resource and its follows the guidelines of the project.",3,2
323,2020-05-13T09:00:17Z,2020-05-15T08:56:41Z,2020-05-15T08:56:42Z,1,1,0,"[SVGminify] -> [Image Compression]
SVGminify
This tool removes superfluous information, thereby reducing the size of your SVG files.
Link: https://www.svgminify.com/
Checklist:

 I have performed a self-review of submitted resource and its follows the guidelines of the project.",2,0
360,2020-05-20T07:00:56Z,,2020-05-20T13:29:10Z,1,1,0,"Balsamiq Wireframes
Quick and Easy Wireframing Tool
Link: https://balsamiq.com/wireframes/
Checklist:

 I have performed a self-review of submitted resource and its follows the guidelines of the project.",3,1
365,2020-05-21T17:03:02Z,2020-05-22T10:35:20Z,2020-05-22T10:35:20Z,1,1,0,"New site under ""UI Components & Kits""
Resource Name - TagFold
Useful Bootstrap 4, HTML5, CSS3 Code Snippets to Build Web Layouts
Link: https://tagfold.com/
Checklist:

 I have performed a self-review of submitted resource and its follows the guidelines of the project.",2,0
377,2020-05-24T02:50:25Z,2020-05-24T09:47:30Z,2020-05-24T09:47:30Z,1,2,0,Add Brand Colors Resource to Colors Section,2,0
380,2020-05-24T08:55:13Z,,2020-05-24T11:04:37Z,1,2,1,"Wix
Free Website Builder with the freedom to create the Websites you want.
Link: https://www.wix.com/
Checklist:

 I have performed a self-review of submitted resource and its follows the guidelines of the project.",2,1
