number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
317,2015-08-11T08:30:07Z,2017-11-04T02:42:06Z,2017-11-04T02:42:06Z,1,16,0,,2,0
352,2016-04-18T20:45:26Z,2017-09-22T13:58:00Z,2017-09-22T13:58:00Z,1,1,0,,4,2
366,2016-08-28T10:35:28Z,,2018-01-19T03:39:15Z,1,1,0,Add one JS question.,4,2
372,2016-12-05T22:48:21Z,2017-01-23T01:00:34Z,2017-01-23T01:00:34Z,1,246,0,,5,3
374,2017-01-22T23:44:46Z,2017-01-23T01:00:08Z,2017-01-23T01:00:08Z,1,1,1,Small update of readme file,2,0
375,2017-02-05T08:21:30Z,2017-03-24T03:52:20Z,2017-03-24T03:52:20Z,1,303,0,"I've add Farsi (Persian) translation of the document.
I'm really sorry about not following the rule of 'Just one Commit' thing ... but creating a bidirectional markdown proved to be a pain in the butt!",4,4
376,2017-02-07T16:02:30Z,2017-02-08T01:41:25Z,2017-02-08T01:41:25Z,1,24,19,,2,0
378,2017-02-24T05:25:44Z,,2018-01-23T01:41:29Z,1,1,0,This is a question I was asked recently in an interview.,4,2
379,2017-03-11T14:17:20Z,,2018-05-22T10:24:44Z,1,2,0,,6,2
386,2017-04-06T13:41:48Z,2017-04-06T15:27:09Z,2017-04-06T15:27:09Z,1,1,1,small fix to title format,2,0
389,2017-05-19T01:39:42Z,2017-09-20T08:07:06Z,2017-09-20T08:07:06Z,1,11,11,,2,0
391,2017-05-20T10:55:21Z,2017-07-02T08:57:44Z,2017-07-02T08:57:44Z,1,29,29,Fix markdown and some typos.,2,0
395,2017-06-22T10:57:35Z,2017-07-02T08:56:11Z,2017-07-02T08:56:11Z,1,1,1,added missing spacebar,2,0
397,2017-07-02T06:46:03Z,2017-07-02T08:54:04Z,2017-07-02T08:54:04Z,1,114,54,"update new questions.
deprecated old qustions.
refactor categorys position.",2,0
398,2017-07-07T14:58:41Z,2017-09-20T07:41:33Z,2017-09-20T07:41:33Z,1,10,10,,2,1
400,2017-07-26T14:03:03Z,2017-09-20T08:03:27Z,2017-09-20T08:03:27Z,1,9,9,,2,0
401,2017-07-28T15:52:21Z,,2019-03-29T23:43:54Z,1,8,0,"I've added the following questions I find helpful when conducting FED interviews:
What are appropriate uses for HTML tables?
What does semantic HTML mean, and how do you apply this principle to your markup?
When calculating specificity, what value do elements, classes and IDs have?
What other CSS property must be set in order for z-index to be applied?
What CSS styles could potentially cause accessibility issues?
What are the pros and cons of using jQuery? What feautres of ES2015 are likely to make jQuery less ubiquitous?
Explain the difference between var and let
Please merge, thanks :-)",3,3
402,2017-07-29T12:41:49Z,2017-09-23T11:56:57Z,2017-09-23T11:56:57Z,1,260,0,,4,1
406,2017-09-02T13:47:44Z,,2019-03-24T15:44:22Z,1,12,0,,5,4
407,2017-09-08T12:34:56Z,2017-09-20T08:01:33Z,2017-09-20T08:01:33Z,1,1,1,add a space,2,0
408,2017-09-10T05:43:01Z,2017-09-20T06:48:03Z,2017-09-20T06:48:03Z,1,10,10,,3,1
411,2017-10-10T21:05:36Z,,2019-03-29T23:43:53Z,1,7,0,added new questions under general section and JS section,4,4
417,2017-10-27T08:02:46Z,2017-11-04T02:29:04Z,2017-11-04T02:29:04Z,1,1,0,"JSPerf gives a very good example code: https://jsperf.com/loop-vs-map-vs-foreach
For detailed explanation: https://medium.com/@manojsinghnegi/array-methods-explained-filter-vs-map-vs-reduce-vs-foreach-ea3127c6d319",3,3
420,2017-12-14T23:58:11Z,2017-12-15T01:50:06Z,2017-12-15T01:50:06Z,1,34,4,,2,0
422,2018-01-04T22:19:53Z,,2019-03-29T23:43:55Z,1,1,0,I believe currying is a really great concept to gauge a developer's knowledge of JavaScript and I've been asked about it a couple of times during interviews. I thought it would be a great addition for people studying. Great list of questions!,5,8
426,2018-01-11T00:19:53Z,2018-01-11T15:01:29Z,2018-01-11T15:01:29Z,1,1,1,"This question will only ever get a straw-man's argument at best. And this article Responsive vs Adaptive Design – Which is Best for Mobile Viewing of Your Website? only strengthens the position that there is now real difference between the two when it comes to coding a solution. Sure, there may be a design strategy here, but this is not a list of questions for designers.
The replacement question gets to the core of the question about an actual implementation strategy for development.
The expected answer from the question would be the expectation that the interviewee would understand that there is a significant different between coding a UI from a desktop-first perspective versus a mobile-first one. Also, this person would expect to understand the difference between min-width versus max-width in these scenarios.",2,1
434,2018-01-11T17:20:45Z,2018-01-17T18:51:41Z,2018-01-17T18:51:41Z,1,7,1,"The operation is called a Ternary operator, not an expression. This PR updates that term.
What are some advantages for using the new arrow => function syntax?
This question will determine a developer's understanding of the new function syntax. An interviewer would expect to hear answers like; reduced verbosity for creating anonymous functions and lexical scoping.
What advantage does using the arrow syntax for a method in a constructor offer?
This question is more focused at determining a developer's understanding of lexical scoping.
What is the definition of a higher-order function?
Evaluating the general knowledge of a developer's understanding of higher-order functions. An interviewer would expect an answer along the lines of;

a function that takes a function as an argument, or
a function that returns a function

An interviewer may also ask the developer to illustrate an example of a higher-order function. For example:
// a function that accepts a function as an argument
eventTrigger.addEventListener('click', consoleClick);
// a function that returns a function 
function character(string) {
  const concatString = `I am ${string}`;
  const punc = '!';

  return function() {
    console.log(concatString + punc);
  }
}

const groot = character('Groot');
groot(); // ""I am Groot!""
Can you give an example for destructuring an object or an array?
This question is to determine a developer's understanding of this new syntax. Examples should resemble the following:
// destructuring an array
const listing1040Willow = ['remodeled kitchen', '4 bedrooms', '2.5 baths'];
const [feature, bedrooms, baths] = listing1040Willow;
// destructuring an object
const purchases = {
  purchaseOnline: {
    one: 'http://www.amazon.com',
    two: 'http://www.bestbuy.com',
    three: 'http://www.costco.com'
  }
}

const {one, two, three} = purchases.purchaseOnline;
A developer illustrating code more advanced then these examples, or using a combination/shorthand syntax for complex objects would be considered a senior developer IMHO.
ES6 Template Literals offer a lot of flexibility in generating strings, can you give an example?
Everyone should know about using the back-tick ${} syntax. A developer offering up additional uses, for example a block of HTML as used with frameworks like React would show an advanced understanding of this new syntax.
Can you give an example of a curry function and why this syntax offers an advantage?
A common understanding of a curry function would be the following:
function foo(a) {
  return function(b) {
    return a + b;
  }
}
Advantages would a developer's ability to breakdown complex functions and allow for nested functions to be returned as a function and be assigned to other variables.",3,0
438,2018-01-17T18:38:53Z,,2018-10-10T21:34:35Z,1,6,10,"Pull Request
This update address context issues related to the Pull Request template.
Fixes # (issue)
Type of change
Please check the options that are applicable

 Bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds functionality)

Checklist:

 My code follows the style guidelines of this project
 I have performed a self-review of my own code
 I have made corresponding changes to the documentation",2,0
439,2018-01-17T19:55:50Z,,2019-03-24T15:45:02Z,1,1,1,"Pull Request
One question was removed as it is a duplicate question in relation to media queries.
The new question is added to inquire as to a person's knowledge of the two very different code styles when writing CSS.
Can you explain the differences between Functional CSS and Component CSS development styles? What are some advantages/disadvantages of either style?

An interviewer would expect answers to illustrate the differences between these coding styles and possible naming conventions. Advantages/disadvantages are opinions for the most part and would allow the interviewer to gain perspective as to the developer's personal insights on the subject.
Type of change
Please delete options that are not relevant.

 Bug fix (non-breaking change which fixes an issue)
 New feature (non-breaking change which adds functionality)

Checklist:

 My code follows the style guidelines of this project
 I have performed a self-review of my own code
 I have made corresponding changes to the documentation",4,2
442,2018-01-18T06:17:52Z,,2018-08-31T15:00:20Z,1,1,1,"I added a space after ""BFC"".
Type of change

 Bug fix (non-breaking change which fixes an issue)

How Has This Been Tested?
N/A
Checklist:

 My code follows the style guidelines of this project
 I have performed a self-review of my own code
 I have made corresponding changes to the documentation",3,2
445,2018-01-23T01:50:00Z,2018-01-23T03:41:31Z,2018-01-23T03:41:31Z,10,254,265,"Pull Request Template
This splits all questions into separate files.
Closes #444",2,1
447,2018-01-23T03:54:32Z,2018-01-24T00:49:30Z,2018-01-24T00:49:30Z,6,2100,2,"closes #446
This creates a CONTRIBUTORS.md file and adds some other tweaks to README file.
preview:",2,0
460,2018-02-22T04:15:30Z,,2019-03-24T15:46:00Z,1,2,0,"https://davidwalsh.name/javascript-debounce-function
https://css-tricks.com/the-difference-between-throttling-and-debouncing/
Fixes # (issue)
Type of change
Please delete options that are not relevant.

 New Question
 Revision of an existing question
 Infrastructure change (automation, etc.)
 Other (please elaborate)

Checklist:

 My prose follows the style guidelines of this project
 I have performed a self-review of my own prose",3,5
482,2018-06-29T13:05:33Z,2018-07-02T16:51:53Z,2018-07-02T16:51:53Z,1,305,0,"Added Hebrew translation as discussed on #480.
Adresses #480
Type of change

 Added Hebrew translation of questions.

Checklist:

 My prose follows the style guidelines of this project
 I have performed a self-review of my own prose",2,4
492,2018-10-01T05:41:39Z,,2018-10-02T11:28:16Z,1,3,0,"Pull Request
Added new questions in javascript-questions.md
Type of change

 New Question

Checklist:

 My prose follows the style guidelines of this project
 I have performed a self-review of my own prose

Thanks!",3,1
493,2018-10-01T05:47:10Z,,2018-10-02T11:14:40Z,1,2,0,"Pull Request
New questions added in html-questions.md.
Fixes # (issue)
Type of change

 New Question

Checklist:

 My prose follows the style guidelines of this project
 I have performed a self-review of my own prose

Thanks!",3,1
494,2018-10-01T05:49:04Z,2018-10-03T16:48:36Z,2018-10-03T16:48:36Z,1,1,0,"Pull Request
New question added in general-question.md
Fixes # (issue)
Type of change

 New Question

Checklist:

 My prose follows the style guidelines of this project
 I have performed a self-review of my own prose

Thanks!",3,2
