number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
433,2016-12-13T04:37:16Z,2016-12-13T08:28:37Z,2016-12-13T08:28:37Z,1,3,4,"broken by #430, sorry.
remove json quote around function in the config e.g. axisFormatter for #428",2,1
498,2017-03-24T20:27:57Z,2017-04-01T09:45:08Z,2017-04-01T09:45:08Z,1,2,3,,3,3
524,2017-04-21T12:47:53Z,2017-04-24T15:56:46Z,2017-04-24T15:56:46Z,58,1761,2935,"Replace karma + PhantomJS with karma + Chrome headless
https://groups.google.com/forum/#!topic/phantomjs/9aI5d-LDuNE

Chrome is faster and more stable than PhantomJS. And it doesn't eat memory like crazy.


I don't see any future in developing PhantomJS. Developing PhantomJS 2 and 2.5 as a single developer is a bloody hell.

We will get rid of PhantomJS altogether in the future.
Get rid of browserify
Now there is no browserify. I replaced karma-browserify with karma-webpack.
Remove some useless code and libraries
gulp-uglify was removed because webpack has embedded uglify support.
jshint was remove because now we are using JavaScript Standard Style based on ESLint
Removed some gulp tasks because we no longer need them.
Add some documentation for contributors to readme
https://github.com/tylingsoft/mermaid#for-contributors
Use webpack to compile less into css
gulp-less was removed.
Update less code
Format and beautify less code.
Make all 5 kinds of diagrams look good in all 4 themes
Update sequence diagram, git graph and class diagram
Fixed some minor issues
Fix Travis CI",2,1
526,2017-04-22T07:32:20Z,,2017-08-16T14:57:41Z,12,37,33,,1,2
695,2018-07-19T16:21:43Z,,2019-10-15T18:12:29Z,15,3275,2870,"This allows yarn to install properly with node v10, and should also support better upwards compatibility. Also fixes build error on latest with some improperly escaped tests in flow spec. Includes refactoring flow spec unit tests to prevent tripping the refactor checker.",8,6
705,2018-07-29T16:52:32Z,2019-06-09T18:22:03Z,2019-06-09T18:22:03Z,2,54,19,"Hello,
This Pull Request is intended to start a discussion on how to tackle the problem of cardinality within mermaid.
See #602",4,4
725,2018-09-03T22:26:10Z,,2019-09-24T10:41:22Z,4,102,88,"Hi,
I'm using mermaid for a new site that I'm making that will be highly focused on software design.  However, there were two features that didn't work as I expected, so I changed them.  I'm submitting a PR here in case you want the changes too.

Firstly, there was hard-coded CSS setting the font to whatever was auto-detected in the browser.  This is fairly fragile.  I don't know why it was added, but it's probably an edge case or a ""compatibility"" thing.  I don't think anyone would expect this sort of feature, and it was surprising.

It was also causing problems when the font loads slowly on the page, randomly.  It also failed if I did anything different with font-size.  I really recommend leaving the users alone with their choice of font.  😁

The classes were mixed up or missing from the UML diagrams.  I fixed this, and now everything looks great.

Also: I noticed that some of the features being tested in the UML diagrams don't actually do anything, but they're also not failing.  I'm guessing they were features that aren't finished yet?   Can I help?",5,4
758,2018-11-16T10:24:16Z,,2019-06-09T16:55:54Z,8,198,142,"This resolve #576 by adding a new attribute subGraphStyle to the the flow graph
Please let me know what I can improve as this is my first PR on mermaid.
In order to build and run the tests I had to edit package.json to update webpack-cli to version 3.1.2 and add the following jest config: ""testURL"": ""http://localhost"" not sure if this should be part of this PR or if it is my environment which is broken",4,2
788,2019-02-01T04:52:23Z,2019-06-09T17:56:26Z,2019-06-09T17:56:26Z,6,206,252,"This is my first PR for this project, so be gentle.
I've added the possibility to mark tasks in a Gantt chart as milestones.
What this does is the following:

It makes the rect representing the task exactly square, with both sides being the theBarHeight
It changes the x-coordinate, so that the rect is smack in the middle of what would have been the rectangular representing the task.
It adjusts the position of the text label accordingly
It adds a class to both the rect and the text label
The scss rotates the square, and scales it down slightly so that it looks like a diamond, which seems to be the standard icon for milestones
the scss makes the text label italics

It's backwards compatible, so if the milestone tag isn't there, it should work as expected.
Milestones with a task duration of several days don't really make sense, but it would still work. You just get a lot of  padding to the left and right. This also happens when the timescale is very wide, like so:",5,5
872,2019-07-07T19:54:15Z,2019-07-12T16:05:22Z,2019-07-12T16:05:22Z,6,226,95,"This PR introduces the addition of a inclusiveEndDates arguments for Gantt chart definitions.
Adding this argument will add 1 day to all the end dates, effectively treating them to be inclusive.
Relevant Issues:

#868

Tasks:

 write specs for inclusive end dates
 add inclusive end date functionality to ganttDb.js
 write specs for gantt.jison parser improvements
 add definitions to the gantt.jison parser for inclusive end dates

Example Usage:

  
    
      gantt
      title Inclusive end dates (Manual date should end on 4th)
      dateFormat YYYY-MM-DD
      axisFormat %d
      inclusiveEndDates
      section Section1
         2 Days: 1, 2019-01-01,2d
         Manual Date: 2, 2019-01-01,2019-01-03",3,1
