number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
622,2016-08-05T13:13:08Z,,2017-12-04T22:49:56Z,3,559,142,"Animate.css Builder Web Version

The Animate.css Builder updates automatically, just update form > select.

The Root Code ( not test ), is updated with the new animations.
Preview 1

Preview 2",6,20
631,2016-08-31T13:00:08Z,2017-04-27T12:23:25Z,2017-04-27T12:23:25Z,5,84,1819,"Demo: http://codepen.io/RPem/pen/JRPaEq
My first ever pull request so just let me know if there's anything I've missed.",4,6
637,2016-09-22T15:44:35Z,2016-09-27T13:45:38Z,2016-09-27T13:45:38Z,2,9,1,"Add this project on Travis CI!
Also update the README with Github Badges!",5,9
695,2017-05-01T06:29:26Z,2017-11-10T00:33:55Z,2017-11-10T00:33:55Z,2,110,108,"First of all congratulations for this simple and easy to use CSS library ㊗️
The documentation spoke about custom builds to reduce size and showed a way to customize them:
""attention_seekers"": { ""bounce"": true, ""flash"": false, ""pulse"": false, ""shake"": true, ""headShake"": true, ""swing"": true, ""tada"": true, ""wobble"": true, ""jello"":true }
However that never worked for me if I wanted to add only one animation, the whole group of animations was always gone independently of the boolean value, that's how I found out it was a bug.
I corrected the gulpfile to iterate objects instead of the for loop for arrays, and corrected animate-config.json to fit the way is expected to work by the documentation.
With the current fix I am finally able to use just the ""shake"" animation with only 624B instead of the 17Kb of the original file 😄",2,3
740,2017-09-15T13:47:51Z,2017-10-02T20:43:47Z,2017-10-02T20:43:47Z,1,4,0,"for more see this issue.
hope I helped 👐 👐
ready for any discussions..💖💖",4,1
743,2017-10-04T00:33:52Z,,2020-04-21T10:25:58Z,12,509,2,https://codepen.io/ardagedikk/pen/Ewbjyx,4,21
762,2017-11-15T23:10:11Z,2018-01-25T16:46:46Z,2018-01-25T16:46:46Z,35,367,236,"What do you think about prettifying some stuff with https://github.com/prettier/prettier?
Formatting all the support files in this project: js, json, md, css.
I also including the pre-commit hooks, so it will format stuff before making it to the repo.",3,12
790,2018-02-20T19:05:25Z,2018-07-19T01:24:17Z,2018-07-19T01:24:17Z,7,79,26,"What's New?
I add css class to define delays, so you can now add delay class directly in the html element. For example:
<div class=""animated bounce delay-2s"">Example</div>
I add only from 1 to 5 seconds delay.  I also update the build version of the css library. I saw that it is labeled as 3.6.1 but the build is 3.6.0 so I build latest animate.css file.
Changelogs:

Add delay feature in the code.
Update the version from 3.6.1 into 3.6.2
Add delays up to 5 seconds
Update the files from 3.6.1 into 3.6.2
Modify the documentation and add delay option
Update devDependencies to the stable version.
Update the .gitignore file.
Fix travis build errors.",2,5
830,2018-07-14T06:44:35Z,2018-07-21T15:55:44Z,2018-07-21T15:55:44Z,7,6985,3,"This is in reference to the issue #829 which deals about adding a Heart-Beat animation.

Check out the demo here


 Modified animate-config.json to include the heartBeat animation.
 Add heartBeat.css to the source directory within attention-seekers.
 Update Readme to include heartBeat class within the list of classes provided.",5,16
862,2018-09-04T21:33:08Z,2018-10-13T15:04:46Z,2018-10-13T15:04:46Z,1,1,1,,4,2
