number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
557,2016-10-21T09:06:31Z,2016-10-21T15:54:50Z,2016-10-21T15:54:50Z,8,19,6,"Generates propType docs for all react components used in stories at runtime using babel-plugin-react-docgen.
It also collects all the react propType docs to a global object named STORYBOOK_REACT_CLASSES.",4,5
592,2016-11-02T03:46:20Z,2016-11-03T08:15:02Z,2016-11-03T08:15:03Z,1,12,1,"Fixes #581
This line (https://github.com/kadirahq/react-storybook/blob/master/src/server/index.js#L69) hard-codes the favicon to be pulled from /node_modules/@kadira/storybook/dist/server/public/favicon.ico.
This update first checks the specified static files for a favicon.ico and uses that if one is found. Otherwise, it falls back to using the default storybook favicon. The tricky part here is that it seems that the first call to app.use(favicon) wins, so we need to do the default last.",4,5
608,2016-11-08T12:27:41Z,2016-11-09T10:26:06Z,2016-11-09T10:26:06Z,2,21,3,Trying to fix #607,3,3
623,2016-11-19T23:36:16Z,2016-11-22T01:48:18Z,2016-11-22T01:48:18Z,3,260,198,"Fixes #620
We do this it react-perf query param exists in the main frame.",3,1
670,2017-01-14T18:13:55Z,2017-03-28T22:32:57Z,2017-03-28T22:32:57Z,2,8,0,"Right now if you add another story with the same name, the first one is
lost. For example:
// …

storiesOf('Button', module)
  .add('with text', () => ( // this story will be lost
    <Button onClick={action('clicked')}>Hello Button</Button>
  ))
  .add('with some emoji', () => (
    <Button onClick={action('clicked')}>😀 😎 👍 💯</Button>
  ))
  .add('with text', () => (
    <p>
      this will silently overwrite the first story
    </p>
  ));",6,4
671,2017-01-16T02:27:05Z,2017-03-28T16:08:22Z,2017-03-28T16:08:22Z,1,1,1,,4,1
672,2017-01-18T10:18:56Z,2017-03-28T16:07:04Z,2017-03-28T16:07:04Z,1,4,0,"Our entire storybook was broken because of a simple error, we provided undefined as the first parameter of storiesOf.
This was pretty hard to track down as it only results in issues later on during the runtime where storybook tries to manipulate the names that were given to the stories.
If you want I can write extra tests for this usecase, but I would like to know if this is something you want to work on first.",4,3
677,2017-01-25T21:50:23Z,,2017-05-21T12:50:22Z,2,64,39,"This allows an arbitrary number of files to be loaded into the iframe, not just the single preview.bundle.js file.
Webpack plugins can output chunks in a separate file. In dev, since file names are predictable, I can add the js file into a head.html file. When building storybook statically, however, js files have a hash added to them, so this doesn't work.
This change makes the static build parse all webpack chunks and load them in the iframe (excluding the manager script), instead of only including known files.",3,3
680,2017-01-31T09:50:50Z,2017-03-29T13:51:56Z,2017-03-29T13:51:56Z,1,1,1,"Since render() method returns JSX.Element | null, the signature of StoryDecorator breaks repos with latest React definitions and --strictNullChecks.",4,0
695,2017-02-15T05:53:25Z,,2017-04-01T23:16:53Z,16,626,340,"I'm not entirely sure what the status of moving to webpack 2 is (I did see #637 but it's just a simple dependency change at the moment).
I went through the exercise of going through the migration from webpack 1 to webpack 2 steps and attempted to run the demo project after linking. Things seem to work.
I'm happy to iterate on this PR if this is work that would be of value for upstream.",5,5
699,2017-02-17T18:55:23Z,2017-03-28T22:30:48Z,2017-03-28T22:30:48Z,1,0,1,"The react-button storybook is linked to as an example here and on the homepage, but it appears very broken now. As the first example I opened, this totally confused me as I wasn't sure if what I was seeing was intended. I think this should be removed until fixed so people don't get a bad first impression like I did, and the other examples are already pretty good.",4,1
702,2017-02-22T02:45:38Z,2017-03-28T22:31:51Z,2017-03-28T22:31:51Z,1,1,1,"Just noticed a minor spelling mistake when I got an error message.
render.js ->  ""element form the story"" to  ""element from the story"" in render.js.",4,0
705,2017-02-23T22:21:03Z,,2017-07-28T09:01:04Z,8,266,175,"Attempts to solve #548 by providing two new api's setKindOrdering and setStoriesOrdering, both take a function argument which is passed to the sorting within story_store.js. This enables the user to chose if alphabetical ordering of kinds and/or stories.
In addition I've added a way to provide metadata about kinds and stories which can be used as part of the ordering logic. In general both storiesOf and add now accepts objects as well as strings. Previous syntax is still working though.
Story with metadata
storiesOf('Kind without metadata')
  .add('no-metadata', () => (<p>No metadata here</p>))
  .add('metadata', { story: () => (<p>No metadata here</p>), additionData: 'metadata' })
Kind with metadata
storiesOf({ name: 'Metameta', storyMetadata: 'something something' })
    .add('normal', () => (<p>Nothing here</p>));
Fixes: #548",4,11
712,2017-03-06T22:18:59Z,2017-04-12T20:11:20Z,2017-04-12T20:11:20Z,1,1,1,"Usage of Array.includes force include polyfills to browser compatibility. Can be easily replaced by indexOf. (I know includes is better, but a full polyfill is too much for only 1 line).
Image below is a project that I are working. Caused fatal error in IE11.",4,3
715,2017-03-07T12:55:57Z,2017-04-12T20:15:41Z,2017-04-12T20:15:41Z,1,1,0,"IE is sometimes configured to fall back to IE7-emulation on internal sites.
This forces IE to use its latest version on this site.",3,5
720,2017-03-12T07:44:54Z,2017-03-28T16:09:29Z,2017-03-28T16:09:29Z,1,1,1,"Changed ""form"" to the correct ""from""",3,1
721,2017-03-12T18:01:23Z,2017-03-28T16:04:33Z,2017-03-28T16:04:33Z,5,172,172,,3,1
723,2017-03-13T17:38:08Z,2017-04-12T20:18:13Z,2017-04-12T20:18:13Z,2,7,2,"notes
since devMiddlewareOptions is pretty much the same as devServer, this simply allows a webpack config to naturally use devServer to override the default devMiddlewareOptions
fixes #650",4,7
730,2017-03-23T11:37:29Z,,2017-04-01T22:45:13Z,1,3,1,"Upgrade babel-preset-react-app to version 2.x.x, which uses babel-preset-env instead of the deprecated babel-preset-latest.
This enables depending modules to get rid of the following warning on npm install (when using the @kadira/storybook module).
npm WARN deprecated babel-preset-latest@6.16.0: 💥  preset-latest accomplishes the same task as babel-preset-env. 🙏  Please install it with 'npm install babel-preset-env --save-dev'. '{ ""presets"": [""latest""] }' to '{ ""presets"": [""env""] }'. For more info, please check the docs: http://babeljs.io/docs/plugins/preset-env 👌. And let us know how you're liking Babel at @babeljs on 🐦",4,2
735,2017-03-30T23:41:14Z,2017-04-05T06:04:50Z,2017-04-05T06:04:50Z,2,58,6,"This pull request introduces four CLI flags allowing users to serve Storybook over HTTPS:
    --https                       Serve Storybook over HTTPS. Note: You must provide your own certificate information.
    --ssl-ca <ca>                 Provide an SSL certificate authority. (Required with --https)
    --ssl-cert <cert>             Provide an SSL certificate. (Required with --https)
    --ssl-key <key>               Provide an SSL key. (Required with --https)",4,8
736,2017-03-31T02:01:11Z,2017-03-31T07:23:50Z,2017-03-31T07:23:50Z,1,30,2,For #734,4,4
741,2017-04-02T18:06:17Z,2017-04-03T15:58:55Z,2017-04-03T15:58:55Z,1,7,0,"Issue: #740
What I did
Simple strawman PR template to kick off the conversation. This will automatically fill in new PRs on github.
How to test
Unfortunately, since this relies on github behavior the only way to test is to merge the PR and then create a new PR, or to create a dummy repo and try it out there. (Have used this successfully on other projects though.)",3,0
747,2017-04-04T23:01:17Z,2017-05-19T17:41:19Z,2017-05-19T17:41:19Z,1,5,1,"Issue: #722
Added a check for storyName type to catch missing or invalid storyName.",5,4
748,2017-04-05T04:39:37Z,2017-04-10T04:26:29Z,2017-04-10T04:26:29Z,1,30,0,Not sure if this covers all the labels as a they are currently used but it seems like a good starting point.,3,1
749,2017-04-05T11:22:52Z,2017-04-14T19:13:28Z,2017-04-14T19:13:28Z,603,45544,4043,"Issue: #742
What I did
Moved all the source for this package into a /packages/react-storybook
Merged in the monorepo master
Resolved mergeconflicts
How to test
install dependencies - this should bootstrap lerna.
run npm run test in the root",39,7
753,2017-04-10T06:00:34Z,2017-04-20T07:28:13Z,2017-04-20T07:28:13Z,1,16,1,"2.35.3 add getStorybook() in 86d5819, but Typescript definitions were not updated.
Also configure was missing altogether, added in 	0e9d7de
Issue:
stories.ts(6,23): error TS2339: Property 'getStorybook' does not exist on type 'typeof ""./node_modules/@kadira/storybook/config/storybook""'.

when using getStorybook().
What I did
Added TS definition.
How to test
Run
test.ts, e.g.:
import * as storybook from '@kadira/storybook';
import './.storybook/config.js';

console.log(storybook.getStorybook());

with tsc.",3,7
